"序号","接点","上一段","下一段","转场类型","风险","状态","上一段终态","下一段起态","问题","衔接契约","修复目标"
"19","E02-09→E02-10","E02-09","E02-10","同场连续或反打","低","可按现有切点","许知遥把日志放到电台旁。；许知遥：“哥哥在这儿，爸却被写在船上。”（愤怒渐起）","程野蹲在消防柜边。；程野：“许叔那天不是怕我找到船。”（终于直面记忆）","关键帧与剧情动作未发现明显状态逆转；仍须执行常规相邻段连播 QC。","保持人物、道具、视线、运动方向和物体开合状态；生成后连播上一段尾 2 秒与下一段首 2 秒。","无"
"20","E02-10→E03-01","E02-10","E03-01","章回/时空跳转","中","待链路验证","程野抬头看向货仓深处。；程野：“他当时盯着这里，只说谁都不要再找。”（低声，留下疑点）","货仓侧门被巡场人员发现开启后，高嵩接到通知快步赶来，一把按住刚从消防柜取出的发霉值班日志。；高嵩：“旧纸受潮，碰坏了没人负责。”（温和，手没有松开）","上一段二人看向货仓深处，下一段直接出现高嵩按住清单，缺少闯入方向、证物桌位置和人物反应。","给 E03-01 增加高嵩从既定入口闯入的宽镜或门响声桥，再切按住清单；保持电台、日志和人物相对位置。","E03-01"
"21","E03-01→E03-02","E03-01","E03-02","同场连续或反打","低","可按现有切点","程野的手指在值班日志与事故记录的时间栏之间移动。；程野：“可事故记录写他一点二十已经开船。”（简短，指出记录冲突）","高嵩整理被碰皱的袖口。；高嵩：“十五年前的纸，能说明什么？”（保持笑意）","关键帧与剧情动作未发现明显状态逆转；仍须执行常规相邻段连播 QC。","保持人物、道具、视线、运动方向和物体开合状态；生成后连播上一段尾 2 秒与下一段首 2 秒。","无"
"22","E03-02→E03-03","E03-02","E03-03","同场连续或反打","低","可按现有切点","高嵩：“我是在替你父亲留体面。”（替她定义利害）","他把责任书推到许知遥面前。；高嵩：“签名是他的，责任也是他的。”（音量不高，句句压人）","关键帧与剧情动作未发现明显状态逆转；仍须执行常规相邻段连播 QC。","保持人物、道具、视线、运动方向和物体开合状态；生成后连播上一段尾 2 秒与下一段首 2 秒。","无"
"23","E03-03→E03-04","E03-03","E03-04","同场连续或反打","低","可按现有切点","高嵩：“录音修出来什么，全凭你说。”（轻描淡写）","程野挡在电台前。；程野：“报警器不会替她撒谎。”（低沉）","关键帧与剧情动作未发现明显状态逆转；仍须执行常规相邻段连播 QC。","保持人物、道具、视线、运动方向和物体开合状态；生成后连播上一段尾 2 秒与下一段首 2 秒。","无"
"24","E03-04→E03-05","E03-04","E03-05","同场连续或反打","中","待链路验证","高嵩：“我给你们十分钟。”（平静施压）；高嵩：“遗物交给我，旧事到此为止。”（像谈交易）","他走出货仓接起电话。；程野重新蹲到消防柜前。","静态关键帧没有直接矛盾，但必须用相邻视频连播确认动作、轴线或时空跳转。","保持人物、道具、视线、运动方向和物体开合状态；生成后连播上一段尾 2 秒与下一段首 2 秒。","无"
"25","E03-05→E03-06","E03-05","E03-06","同场连续或反打","中","待链路验证","他从夹层抽出油纸包裹的清单。；程野：“他怕的不是电台，是这个。”（压低声音）","许知遥把高嵩私章与六行数量拍进手机。；许知遥：“先留副本。”（恢复专业冷静）","静态关键帧没有直接矛盾，但必须用相邻视频连播确认动作、轴线或时空跳转。","保持人物、道具、视线、运动方向和物体开合状态；生成后连播上一段尾 2 秒与下一段首 2 秒。","无"
"26","E03-06→E03-07","E03-06","E03-07","动机转场","中","待链路验证","程野：“这不像普通磨损。”（低声确认）","许知遥抱着电台快步回到修复台前。；她插入已经保存的原始副本。","静态关键帧没有直接矛盾，但必须用相邻视频连播确认动作、轴线或时空跳转。","上一段必须完成离场动机，下一段以新场景建立镜或明确到达动作开始。","无"
"27","E03-07→E03-08","E03-07","E03-08","同场连续或反打","低","可按现有切点","许潮：“爸被他们按在货仓里。”（录音，压低声音）","许知遥的手停在播放键上。；许知遥：“他在货仓。”（确认事实，气息发紧）","关键帧与剧情动作未发现明显状态逆转；仍须执行常规相邻段连播 QC。","保持人物、道具、视线、运动方向和物体开合状态；生成后连播上一段尾 2 秒与下一段首 2 秒。","无"
"28","E03-08→E03-09","E03-08","E03-09","同场连续或反打","低","可按现有切点","许潮：“爸咬着正钥匙，抱着栏杆。”（录音，急促喘息）","许知遥从修复台前站起来。；许知遥：“他签字，不等于他开船。”（克制而确定）","关键帧与剧情动作未发现明显状态逆转；仍须执行常规相邻段连播 QC。","保持人物、道具、视线、运动方向和物体开合状态；生成后连播上一段尾 2 秒与下一段首 2 秒。","无"
"29","E03-09→E03-10","E03-09","E03-10","同场连续或反打","中","待链路验证","许知遥摘下耳机。；许知遥：“开船的是高嵩。”（结论落定）","程野把油纸清单摊在责任书旁。；程野：“六桶溶剂，私章也在。”（指向清单）","静态关键帧没有直接矛盾，但必须用相邻视频连播确认动作、轴线或时空跳转。","保持人物、道具、视线、运动方向和物体开合状态；生成后连播上一段尾 2 秒与下一段首 2 秒。","无"
"30","E03-10→E04-01","E03-10","E04-01","章回/时空跳转","中","待链路验证","她把音轨继续拖向许潮登船前的空白段。；耳机里突然传来许潮奔向栈桥的脚步声。","为抢在次日九点拆迁前复核并转移剩余湿纸，许知遥与程野连夜返回货仓；程野留在门外备份取证，高嵩快步穿过门口，张开手臂拦住抱着电台离开的许知遥。；高嵩：“跑这么急，是怕我先找到那张清单？”（语气从容，像在谈一笔普通生意）","修复室的调查结论直接跳到货仓对峙，时间、地点和人物为何重新聚集没有建立。","明确章回/时间地点跳转：先给货仓外景或门口建立镜，再进入高嵩阻拦许知遥；禁止把两段当成同一秒连续动作。","转场镜"
"31","E04-01→E04-02","E04-01","E04-02","同场连续或反打","低","可按现有切点","许知遥把电台收进外套内侧，转身走向门口。；高嵩从文件夹里抽出一页房产资料，递到她面前。","高嵩：“城里一套房，换电台和清单。今晚就签。”（音量不高，句句留出逼人答应的停顿）","关键帧与剧情动作未发现明显状态逆转；仍须执行常规相邻段连播 QC。","保持人物、道具、视线、运动方向和物体开合状态；生成后连播上一段尾 2 秒与下一段首 2 秒。","无"
"32","E04-02→E04-03","E04-02","E04-03","同场连续或反打","低","可按现有切点","高嵩收回资料，反手把货仓门关上。；高嵩：“多出来的溶剂，我没否认。”（笑意不变）","许知遥：“那晚是谁开的船？”（追问得很快）","关键帧与剧情动作未发现明显状态逆转；仍须执行常规相邻段连播 QC。","保持人物、道具、视线、运动方向和物体开合状态；生成后连播上一段尾 2 秒与下一段首 2 秒。","无"
"33","E04-03→E04-04","E04-03","E04-04","同场连续或反打","中","待链路验证","许知遥：“我爸被锁在这儿。”（压住怒意）","高嵩转身拍了拍锈蚀的钢门。；高嵩：“他后来签了字，因为他知道许潮上了船。”（替死者下结论）","静态关键帧没有直接矛盾，但必须用相邻视频连播确认动作、轴线或时空跳转。","保持人物、道具、视线、运动方向和物体开合状态；生成后连播上一段尾 2 秒与下一段首 2 秒。","无"
"34","E04-04→E04-05","E04-04","E04-05","同场连续或反打","中","待链路验证","高嵩：“最后，他把自己送上了船。”（刻意放慢）","门外的程野抬起手机，把收音口贴近门缝。；许知遥：“你连一个不能开口的孩子都要推过去。”（声线更低）","高嵩在门内关门与程野、许知遥在门外接近属于内外两侧并行动作，当前画面缺少门的同一侧关系。","锁定门内/门外轴线：E04-04 结束时高嵩在内侧，E04-05 从外侧同一扇门开始，保留门缝光和人物接近方向。","E04-04/E04-05"
"35","E04-05→E04-06","E04-05","E04-06","同场连续或反打","中","待链路验证","高嵩低头看见门缝下晃动的人影。；高嵩一把拉开货仓门。","程野后退两步，手机仍举在胸前。；高嵩：“录到了什么？”（笑意已经消失）","开门发现影子与程野后退是同一动作反应，独立生成会造成门突然换边或高嵩瞬移到门外。","共享开门终态；E04-06 从高嵩仍在门内、程野位于门外并后退开始，固定左右关系与视线。","E04-05/E04-06"
"36","E04-06→E04-07","E04-06","E04-07","动机转场","中","待链路验证","程野转身跑向候船厅，高嵩立即追了出去。","程野跑下石阶，许知遥抱着电台紧跟在后。；高嵩转身夺过电台，用力摔在石阶上。","追逐直接进入争抢电台，运动方向、三人位置和电台归属若不锁定会产生跳轴或道具瞬移。","建立单一运动轴：程野先向候船厅方向跑，高嵩同向追赶；E04-07 沿同方向进入台阶争抢，明确电台先在许知遥手中。","E04-06/E04-07"
"37","E04-07→E04-08","E04-07","E04-08","同场连续或反打","中","待链路验证","高嵩停在石阶上，没有再往前走。；许知遥：“档案修复，从来不在原介质上做。”（把断裂存储板装回外壳）","程野：“你毁掉的，只是我们愿意让你看见的那份。”（站到许知遥身边）","静态关键帧没有直接矛盾，但必须用相邻视频连播确认动作、轴线或时空跳转。","保持人物、道具、视线、运动方向和物体开合状态；生成后连播上一段尾 2 秒与下一段首 2 秒。","无"
"38","E04-08→E04-09","E04-08","E04-09","同场连续或反打","中","待链路验证","高嵩：“里面的湿纸，一张都留不住。”（目光落在程野的手机上）","程野：“你越急，水下那份东西越值得找。”（故意把水下两个字说重）","静态关键帧没有直接矛盾，但必须用相邻视频连播确认动作、轴线或时空跳转。","保持人物、道具、视线、运动方向和物体开合状态；生成后连播上一段尾 2 秒与下一段首 2 秒。","无"
"39","E04-09→E05-01","E04-09","E05-01","章回/时空跳转","中","待链路验证","高嵩：“她的学籍……住处……让他签。”（来自手机残录，失真而断裂）","程野根据十五年前自己丢下半块船牌的位置，并结合许潮录音里奔向栈桥的脚步方向，沿防波堤快步跑下消波块，冲向退潮后露出的水线。；他把安全绳扣在坡面的锈环上。","夜间监听手机后直接切程野在防波堤下水，缺少低潮时间、地点和潜水准备的交代。","使用明确的低潮夜外景与准备镜作为章回转场；保留同一远岸三灯方位，但不要假装与上一段无缝连续。","转场镜"
"40","E05-01→E05-02","E05-01","E05-02","同场连续或反打","中","待链路验证","画外信息：“退潮只剩十二分钟，别逞强。”（许知遥从电话里传来，克制而急促）","程野：“十五年前，我已经退过一次。”（短暂停顿后说完）","静态关键帧没有直接矛盾，但必须用相邻视频连播确认动作、轴线或时空跳转。","保持人物、道具、视线、运动方向和物体开合状态；生成后连播上一段尾 2 秒与下一段首 2 秒。","无"
"41","E05-02→E05-03","E05-02","E05-03","同场连续或反打","中","待链路验证","画外信息：“程野，回话。”（许知遥从耳机里呼叫）","程野突然浮出水面，双臂抱住一只锈死的金属筒。；程野：“找到了。”（喘息很重）","水下灯光后直接变成程野抱着金属筒出水，关键的发现、抓取和上浮动作被模型自行补全，容易改变筒体与装备。","增加水下抓住金属筒或绳索拉升的桥接状态；锁定头灯、绳索、湿衣和同一锈蚀筒体。","E05-02/E05-03"
"42","E05-03→E05-04","E05-03","E05-04","同场连续或反打","中","待链路验证","他拖着金属筒爬上混凝土坡面。；程野拧开筒盖。","同一只文件筒的筒盖已经完全旋下；唯一一卷湿联单只滑出一部分，仍留在筒内。程野闭口听许知遥画外下令：‘别展开，马上带回来。’","拧松文件筒与完全开盖必须保持同一筒体、螺纹进度和双手位置，当前分段容易让盖子或文件瞬间出现。","让 E05-03 结束在盖子已松但未脱离；E05-04 从同一角度完成开盖，纸张只能在盖子完全离开后部分滑出。","E05-03/E05-04"
"43","E05-04→E05-05","E05-04","E05-05","动机转场","中","待链路验证","程野已把唯一联单完整放回筒内并旋紧同一只筒盖；画面外无纸张。他抱筒沿消波块向岸上奔跑。","许知遥闭口按下一个无字播放控件；同一台摔裂电台保持未修复状态，屏幕只出现发动机声带和一个沉闷爆音尖峰，不显示文字或时间码。","防波堤抱筒离开后直接进入修复室播放电台，文件筒、联单和电台的运输与落位关系缺失。","加入到达修复室的建立镜或清楚时间切；先让金属筒和联单落到工作台，再开始电台播放，保持证物未被替换。","转场镜"
"44","E05-05→E05-06","E05-05","E05-06","同场连续或反打","中","待链路验证","镜头开始时许知遥已经戴好薄手套；程野放下唯一一张潮湿卷曲的联单，她开始慢慢展开。联单尚未装袋。","许知遥：“六行编号，和货仓清单一模一样。”（逐行核对）","静态关键帧没有直接矛盾，但必须用相邻视频连播确认动作、轴线或时空跳转。","保持人物、道具、视线、运动方向和物体开合状态；生成后连播上一段尾 2 秒与下一段首 2 秒。","无"
"45","E05-06→E05-07","E05-06","E05-07","同场连续或反打","低","可按现有切点","录音深处传来孩子连续的哭声。；许潮：“舱里还有孩子。”（一边跑一边说）","许潮：“我回去带他出来。”（没有犹豫）","关键帧与剧情动作未发现明显状态逆转；仍须执行常规相邻段连播 QC。","保持人物、道具、视线、运动方向和物体开合状态；生成后连播上一段尾 2 秒与下一段首 2 秒。","无"
"46","E05-07→E05-08","E05-07","E05-08","同场连续或反打","低","可按现有切点","许潮：“我不是跟爸赌气跑掉的。”（声音被潮声逐渐淹没）","许知遥把同一台摔裂电台放在联单旁；联单只铺在保育衬纸上，尚未装进透明袋。程野说：‘他留下证据，又回去救人。’","关键帧与剧情动作未发现明显状态逆转；仍须执行常规相邻段连播 QC。","保持人物、道具、视线、运动方向和物体开合状态；生成后连播上一段尾 2 秒与下一段首 2 秒。","无"
"47","E05-08→E05-09","E05-08","E05-09","同场连续或反打","中","待链路验证","高嵩：“要想保住女儿，就让他签。”（手机残录，尾句被杂音切断）","许知遥把唯一一张父亲责任书放在同一张尚未装袋的联单旁，眼睛停在模糊签名上，说：‘爸不是认罪。他是在替我挡。’P05 右下角必须完整入画，蓝黑模糊签名和褪色椭圆印可辨但不可读；两张纸分别裸放在中性衬纸上。只有许知遥入画并开口；程野、P06 手机、摔裂电台、金属文件筒、三个备份盘和透明保护袋均不出现。她表达的是个人判断，不是已核实结论或免责认定。","静态关键帧没有直接矛盾，但必须用相邻视频连播确认动作、轴线或时空跳转。","保持人物、道具、视线、运动方向和物体开合状态；生成后连播上一段尾 2 秒与下一段首 2 秒。","无"
"48","E05-09→E05-10","E05-09","E05-10","同场连续或反打","中","待链路验证","许知遥从证物方向抬眼看向同一扇铁丝玻璃窗外，说：‘还差公开。’窗户原有的放射状蛛裂必须保留在同一位置，玻璃不能自动修复。只有许知遥入画并开口；其他人物、全部证物和所有屏幕均在画外，不生成可读文字、界面或字幕。","许知遥把修复录音复制到恰好三个无标签、彼此独立的存储盘，并把音频校验摘要、联单照片和复查申请通过预先确认的受理通道提交；原始联单仍在现场由程野装入唯一一个透明保护袋。此镜不生成可读界面，两人嘴唇完全闭合。","静态关键帧没有直接矛盾，但必须用相邻视频连播确认动作、轴线或时空跳转。","保持人物、道具、视线、运动方向和物体开合状态；生成后连播上一段尾 2 秒与下一段首 2 秒。","无"
"49","E05-10→E06-01","E05-10","E06-01","章回/时空跳转","中","待链路验证","许知遥拿同一台未修复的摔裂电台，黑色熔痕、右侧裂开结构、盐霜擦痕和弯天线保持不变；程野拿已完全装入且袋口完全封闭的唯一一袋联单，绝不打开。两人闭口快步走向门口；出发前，程野已把同一部裂屏残录手机完全收入内侧口袋并随身带走，手机不出画；恰好三个存储盘留在台面。距九点一分钟只由画外闹钟声提示，不显示手机、数字或界面。","高嵩冲向唯一一根现场音响线；程野侧身阻挡，并把装有同一张联单的封闭透明保护袋护在胸前。两人都闭口，此镜不出现电台或备份盘。","二人带证物离开修复室后直接进入拆迁仪式冲突，缺少到场、证物分工和音响台落位；容易产生电台、联单和备份盘瞬移。","增加仪式现场建立与落位契约：许知遥到音响台并携带摔裂电台，程野只护住封闭联单，三份备份盘保持场外；随后才发生抢线。","E06-01"
"50","E06-01→E06-02","E06-01","E06-02","同场连续或反打","中","待链路验证","高嵩：“这是拆迁仪式，不是你的修复室。”（努力维持体面）","程野保持透明保护袋封闭，把装有联单的保护袋平举给围观者看；手指隔着塑料沿六行模糊编号移动。程野说：‘六桶编号，都在这儿。’","静态关键帧没有直接矛盾，但必须用相邻视频连播确认动作、轴线或时空跳转。","保持人物、道具、视线、运动方向和物体开合状态；生成后连播上一段尾 2 秒与下一段首 2 秒。","无"
"51","E06-02→E06-03","E06-02","E06-03","同场连续或反打","低","可按现有切点","许知遥：“所以请所有人一起核对。”（不与他争吵）","防潮报警蜂鸣从音响里连续响起。；许潮：“七月十九日，一点四十七分。”（旧录音里的少年声音，紧张但清楚）","关键帧与剧情动作未发现明显状态逆转；仍须执行常规相邻段连播 QC。","保持人物、道具、视线、运动方向和物体开合状态；生成后连播上一段尾 2 秒与下一段首 2 秒。","无"
"52","E06-03→E06-04","E06-03","E06-04","同场连续或反打","低","可按现有切点","高嵩后退一步，回头看向停在场边的拆迁设备。；高嵩：“关掉！”（控制第一次崩开）","许知遥：“你怕的不是噪声，是时间。”（把音量推高）","关键帧与剧情动作未发现明显状态逆转；仍须执行常规相邻段连播 QC。","保持人物、道具、视线、运动方向和物体开合状态；生成后连播上一段尾 2 秒与下一段首 2 秒。","无"
"53","E06-04→E06-05","E06-04","E06-05","同场连续或反打","中","待链路验证","高嵩：“那是个孩子胡说！”（指向音响）","程野把装有同一张联单的封闭透明保护袋平举到现场摄像设备前，隔袋指过六行模糊结构；他说：‘六桶，不是两桶。’","静态关键帧没有直接矛盾，但必须用相邻视频连播确认动作、轴线或时空跳转。","保持人物、道具、视线、运动方向和物体开合状态；生成后连播上一段尾 2 秒与下一段首 2 秒。","无"
"54","E06-05→E06-06","E06-05","E06-06","同场连续或反打","低","可按现有切点","围观者纷纷举起手机对准联单。；高嵩：“责任书还在，许德海洗不干净。”（退回最后一道旧结论）","许知遥：“责任书也会进鉴定。”（没有回避）","关键帧与剧情动作未发现明显状态逆转；仍须执行常规相邻段连播 QC。","保持人物、道具、视线、运动方向和物体开合状态；生成后连播上一段尾 2 秒与下一段首 2 秒。","无"
"55","E06-06→E06-07","E06-06","E06-07","同场连续或反打","中","待链路验证","围观者的现场视频传到项目方后，高嵩的手机连续震动；他低头接起项目主管的电话。；画外信息：“现场拆迁暂停，所有材料原地封存。”（电话里的项目主管，急促而正式）","程野把同一部裂屏残录手机放到封闭联单保护袋旁，说：‘还有你的原话，一份不少。’他说完闭口后，手机残录才继续播放。","静态关键帧没有直接矛盾，但必须用相邻视频连播确认动作、轴线或时空跳转。","保持人物、道具、视线、运动方向和物体开合状态；生成后连播上一段尾 2 秒与下一段首 2 秒。","无"
"56","E06-07→E06-08","E06-07","E06-08","同场连续或反打","中","待链路验证","拆迁设备依次熄火，候船厅前安静下来。；高嵩：“暂停不等于翻案。”（握着手机，声音发紧）","许知遥：“对。接下来每一项，都公开核验。”（把同一台摔裂电台放到始终封闭的透明袋旁）","静态关键帧没有直接矛盾，但必须用相邻视频连播确认动作、轴线或时空跳转。","保持人物、道具、视线、运动方向和物体开合状态；生成后连播上一段尾 2 秒与下一段首 2 秒。","无"
"57","E06-08→E06-09","E06-08","E06-09","同场连续或反打","中","待链路验证","短暂时间跳切后，程野双手把封闭的联单保护袋交给按受理流程赶到现场的一双中性手套，开始受控登记交接；接收人员的脸和身体不入画。","黄昏时，许知遥把同一台摔裂电台固定进救生圈档案夹层的公开透明支架；这不是隐藏藏匿。程野站在两级石阶上说：‘至少今天，他们停了。’","静态关键帧没有直接矛盾，但必须用相邻视频连播确认动作、轴线或时空跳转。","保持人物、道具、视线、运动方向和物体开合状态；生成后连播上一段尾 2 秒与下一段首 2 秒。","无"
"58","E06-09→E06-10","E06-09","E06-10","同场连续或反打","低","可按现有切点","许知遥整理电台的透明归档支架并贴上空白标签，说：‘不是为了赢。是让每一件证据，都能被核验。’标签文字后期处理，生图不生成可读内容。","公开透明归档支架里的摔裂电台保持烧痕、未补漆；许知遥收回双手。潮水退下，最低两级石阶露出深浅两道水线。","关键帧与剧情动作未发现明显状态逆转；仍须执行常规相邻段连播 QC。","保持人物、道具、视线、运动方向和物体开合状态；生成后连播上一段尾 2 秒与下一段首 2 秒。","无"
