"集","段","镜","集内开始秒","集内结束秒","设计时长","H3兜底生成时长","首帧","可选尾帧","中文内容","剪辑备注"
"1","E01-04","2","35","38.5","3.5","4","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E01-04\f2.png","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E01-04\f3.png","动作：她接上实验电源。；动作：两层屏幕同时跳出密集波形。","使用尾帧：整段匀速变速到 3.5s，禁止尾裁；仅首帧：可在动作完成点尾裁"
"1","E01-04","3","38.5","41.5","3","4","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E01-04\f3.png","","许知遥：“先保原始轨，再做副本。”（专业，语速稳定）","在动作完成点尾裁到 3s"
"1","E01-05","1","41.5","45","3.5","4","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E01-05\f1.png","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E01-05\f2.png","动作：她戴上耳机。；动作：连续爆音盖住整条音轨。","使用尾帧：整段匀速变速到 3.5s，禁止尾裁；仅首帧：可在动作完成点尾裁"
"1","E01-05","2","45","48.5","3.5","4","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E01-05\f2.png","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E01-05\f3.png","动作：许知遥拖动第一段降噪参数。","使用尾帧：整段匀速变速到 3.5s，禁止尾裁；仅首帧：可在动作完成点尾裁"
"1","E01-05","3","48.5","51.5","3","4","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E01-05\f3.png","","许知遥：“潮声太满，人声在下面。”（专注，自言自语）","在动作完成点尾裁到 3s"
"1","E01-06","1","51.5","54.5","3","4","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E01-06\f1.png","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E01-06\f2.png","动作：她把右声道单独放大。；动作：一个模糊男声从噪声里露出半句。","使用尾帧：整段匀速变速到 3s，禁止尾裁；仅首帧：可在动作完成点尾裁"
"1","E01-06","2","54.5","57","2.5","4","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E01-06\f2.png","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E01-06\f3.png","许潮：“开船的……”（录音，急促喘息）","使用尾帧：整段匀速变速到 2.5s，禁止尾裁；仅首帧：可在动作完成点尾裁"
"1","E01-06","3","57","59.5","2.5","4","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E01-06\f3.png","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E01-06\f4.png","动作：许知遥猛地按下暂停。","使用尾帧：整段匀速变速到 2.5s，禁止尾裁；仅首帧：可在动作完成点尾裁"
"1","E01-06","4","59.5","62","2.5","4","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E01-06\f4.png","","许知遥：“这个声音……”（失神，尾音发紧）","在动作完成点尾裁到 2.5s"
"1","E01-07","1","62","65.5","3.5","4","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E01-07\f1.png","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E01-07\f2.png","动作：她从抽屉里取出一张兄妹旧照。；动作：许知遥把旧照立在屏幕边。","使用尾帧：整段匀速变速到 3.5s，禁止尾裁；仅首帧：可在动作完成点尾裁"
"1","E01-07","2","65.5","68","2.5","4","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E01-07\f2.png","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E01-07\f3.png","许知遥：“哥，是你吗？”（极轻，第一次失去克制）","使用尾帧：整段匀速变速到 2.5s，禁止尾裁；仅首帧：可在动作完成点尾裁"
"1","E01-07","3","68","70.5","2.5","4","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E01-07\f3.png","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E01-07\f4.png","动作：她重新播放那段残缺录音。","使用尾帧：整段匀速变速到 2.5s，禁止尾裁；仅首帧：可在动作完成点尾裁"
"1","E01-07","4","70.5","73","2.5","4","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E01-07\f4.png","","许潮：“开船的不是爸。”（录音，气息短促）","在动作完成点尾裁到 2.5s"
"1","E01-08","1","73","75.5","2.5","4","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E01-08\f1.png","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E01-08\f2.png","动作：许知遥攥紧耳机线。","使用尾帧：整段匀速变速到 2.5s，禁止尾裁；仅首帧：可在动作完成点尾裁"
"1","E01-08","2","75.5","77.5","2","4","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E01-08\f2.png","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E01-08\f3.png","许知遥：“再说一遍。”（压住颤抖）","使用尾帧：整段匀速变速到 2s，禁止尾裁；仅首帧：可在动作完成点尾裁"
"1","E01-08","3","77.5","81","3.5","4","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E01-08\f3.png","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E01-08\f4.png","动作：她提高人声频段。；动作：波形里的最后两个音节变得清楚。","使用尾帧：整段匀速变速到 3.5s，禁止尾裁；仅首帧：可在动作完成点尾裁"
"1","E01-08","4","81","83","2","4","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E01-08\f4.png","","许潮：“是高嵩。”（录音，清楚而急迫）","在动作完成点尾裁到 2s"
"1","E01-09","1","83","86","3","4","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E01-09\f1.png","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E01-09\f2.png","动作：许知遥摘下耳机站起来。","使用尾帧：整段匀速变速到 3s，禁止尾裁；仅首帧：可在动作完成点尾裁"
"1","E01-09","2","86","89","3","4","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E01-09\f2.png","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E01-09\f3.png","许知遥：“责任书上写的是爸。”（冷静被愤怒顶开）","使用尾帧：整段匀速变速到 3s，禁止尾裁；仅首帧：可在动作完成点尾裁"
"1","E01-09","3","89","91","2","4","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E01-09\f3.png","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E01-09\f4.png","动作：她把责任书压到电台旁。","使用尾帧：整段匀速变速到 2s，禁止尾裁；仅首帧：可在动作完成点尾裁"
"1","E01-09","4","91","93.5","2.5","4","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E01-09\f4.png","","许知遥：“你们谁在撒谎？”（盯着父亲签名）","在动作完成点尾裁到 2.5s"
"1","E01-10","1","93.5","96.5","3","4","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E01-10\f1.png","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E01-10\f2.png","动作：许知遥保存刚刚修出的三段音频副本。","使用尾帧：整段匀速变速到 3s，禁止尾裁；仅首帧：可在动作完成点尾裁"
"1","E01-10","2","96.5","99.5","3","4","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E01-10\f2.png","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E01-10\f3.png","动作：她继续向后拖动未修复的音轨。","使用尾帧：整段匀速变速到 3s，禁止尾裁；仅首帧：可在动作完成点尾裁"
"1","E01-10","3","99.5","102","2.5","4","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E01-10\f3.png","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E01-10\f4.png","动作：电台突然爆出规律蜂鸣。","使用尾帧：整段匀速变速到 2.5s，禁止尾裁；仅首帧：可在动作完成点尾裁"
"1","E01-10","4","102","104.5","2.5","4","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E01-10\f4.png","","动作：黄铜钥匙随震动滑到未修复的波形屏下。","在动作完成点尾裁到 2.5s"
