"集","段","镜","集内开始秒","集内结束秒","设计时长","H3兜底生成时长","首帧","可选尾帧","中文内容","剪辑备注"
"3","E03-04","2","39.5","43","3.5","4","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E03-04\f2.png","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E03-04\f3.png","动作：货仓外传来拆迁设备启动声。；动作：高嵩转身走向门口。","使用尾帧：整段匀速变速到 3.5s，禁止尾裁；仅首帧：可在动作完成点尾裁"
"3","E03-04","3","43","48","5","5","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E03-04\f3.png","","高嵩：“我给你们十分钟。”（平静施压）；高嵩：“遗物交给我，旧事到此为止。”（像谈交易）","按设计时长输出"
"3","E03-05","1","48","51.5","3.5","4","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E03-05\f1.png","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E03-05\f2.png","动作：他走出货仓接起电话。；动作：程野重新蹲到消防柜前。","使用尾帧：整段匀速变速到 3.5s，禁止尾裁；仅首帧：可在动作完成点尾裁"
"3","E03-05","2","51.5","55","3.5","4","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E03-05\f2.png","","动作：他从夹层抽出油纸包裹的清单。；程野：“他怕的不是电台，是这个。”（压低声音）","在动作完成点尾裁到 3.5s"
"3","E03-06","1","55","58.5","3.5","4","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E03-06\f1.png","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E03-06\f2.png","动作：许知遥把高嵩私章与六行数量拍进手机。；许知遥：“先留副本。”（恢复专业冷静）","使用尾帧：整段匀速变速到 3.5s，禁止尾裁；仅首帧：可在动作完成点尾裁"
"3","E03-06","2","58.5","62","3.5","4","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E03-06\f2.png","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E03-06\f3.png","动作：许知遥把黄铜钥匙放到清单旁。；动作：程野查看钥匙环上的两道压痕。","使用尾帧：整段匀速变速到 3.5s，禁止尾裁；仅首帧：可在动作完成点尾裁"
"3","E03-06","3","62","65","3","4","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E03-06\f3.png","","程野：“这不像普通磨损。”（低声确认）","在动作完成点尾裁到 3s"
"3","E03-07","1","65","68.5","3.5","4","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E03-07\f1.png","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E03-07\f2.png","动作：许知遥抱着电台快步回到修复台前。；动作：她插入已经保存的原始副本。","使用尾帧：整段匀速变速到 3.5s，禁止尾裁；仅首帧：可在动作完成点尾裁"
"3","E03-07","2","68.5","71.5","3","4","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E03-07\f2.png","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E03-07\f3.png","许知遥：“蜂鸣之后还有人声。”（盯住波形）","使用尾帧：整段匀速变速到 3s，禁止尾裁；仅首帧：可在动作完成点尾裁"
"3","E03-07","3","71.5","75","3.5","4","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E03-07\f3.png","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E03-07\f4.png","动作：程野关上房门。；动作：许知遥提高蜂鸣后的低频人声。","使用尾帧：整段匀速变速到 3.5s，禁止尾裁；仅首帧：可在动作完成点尾裁"
"3","E03-07","4","75","78","3","4","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E03-07\f4.png","","许潮：“爸被他们按在货仓里。”（录音，压低声音）","在动作完成点尾裁到 3s"
"3","E03-08","1","78","81.5","3.5","4","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E03-08\f1.png","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E03-08\f2.png","动作：许知遥的手停在播放键上。；许知遥：“他在货仓。”（确认事实，气息发紧）","使用尾帧：整段匀速变速到 3.5s，禁止尾裁；仅首帧：可在动作完成点尾裁"
"3","E03-08","2","81.5","84.5","3","4","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E03-08\f2.png","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E03-08\f3.png","程野：“所以他不可能开船。”（立刻接上证据链）","使用尾帧：整段匀速变速到 3s，禁止尾裁；仅首帧：可在动作完成点尾裁"
"3","E03-08","3","84.5","88","3.5","4","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E03-08\f3.png","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E03-08\f4.png","动作：录音里传来铁门撞击声。；许德海：“不能开船！”（录音远声，粗哑用力）","使用尾帧：整段匀速变速到 3.5s，禁止尾裁；仅首帧：可在动作完成点尾裁"
"3","E03-08","4","88","91.5","3.5","4","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E03-08\f4.png","","许潮：“爸咬着正钥匙，抱着栏杆。”（录音，急促喘息）","在动作完成点尾裁到 3.5s"
"3","E03-09","1","91.5","95","3.5","4","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E03-09\f1.png","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E03-09\f2.png","动作：许知遥从修复台前站起来。；许知遥：“他签字，不等于他开船。”（克制而确定）","使用尾帧：整段匀速变速到 3.5s，禁止尾裁；仅首帧：可在动作完成点尾裁"
"3","E03-09","2","95","98.5","3.5","4","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E03-09\f2.png","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E03-09\f3.png","动作：录音远处传来高嵩的喊声。；高嵩：“拿备用钥匙！”（录音远声，命令）","使用尾帧：整段匀速变速到 3.5s，禁止尾裁；仅首帧：可在动作完成点尾裁"
"3","E03-09","3","98.5","102","3.5","4","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E03-09\f3.png","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E03-09\f4.png","动作：发动机声盖过报警蜂鸣。；许潮：“船开了。爸还在这里。”（录音，恐惧却清楚）","使用尾帧：整段匀速变速到 3.5s，禁止尾裁；仅首帧：可在动作完成点尾裁"
"3","E03-09","4","102","105.5","3.5","4","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E03-09\f4.png","","动作：许知遥摘下耳机。；许知遥：“开船的是高嵩。”（结论落定）","在动作完成点尾裁到 3.5s"
"3","E03-10","1","105.5","109","3.5","4","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E03-10\f1.png","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E03-10\f2.png","动作：程野把油纸清单摊在责任书旁。；程野：“六桶溶剂，私章也在。”（指向清单）","使用尾帧：整段匀速变速到 3.5s，禁止尾裁；仅首帧：可在动作完成点尾裁"
"3","E03-10","2","109","112.5","3.5","4","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E03-10\f2.png","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E03-10\f3.png","许知遥：“还差事故船上的原始联单。”（不被胜利冲昏）","使用尾帧：整段匀速变速到 3.5s，禁止尾裁；仅首帧：可在动作完成点尾裁"
"3","E03-10","3","112.5","116","3.5","4","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E03-10\f3.png","","动作：她把音轨继续拖向许潮登船前的空白段。；动作：耳机里突然传来许潮奔向栈桥的脚步声。","在动作完成点尾裁到 3.5s"
