"集","段","镜","集内开始秒","集内结束秒","设计时长","H3兜底生成时长","首帧","可选尾帧","中文内容","剪辑备注"
"5","E05-04","3","38","41","3","4","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E05-04\f3.png","","动作：程野已把唯一联单完整放回筒内并旋紧同一只筒盖；画面外无纸张。他抱筒沿消波块向岸上奔跑。","在动作完成点尾裁到 3s"
"5","E05-05","1","41","44.5","3.5","4","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E05-05\f1.png","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E05-05\f2.png","动作：许知遥闭口按下一个无字播放控件；同一台摔裂电台保持未修复状态，屏幕只出现发动机声带和一个沉闷爆音尖峰，不显示文字或时间码。","使用尾帧：整段匀速变速到 3.5s，禁止尾裁；仅首帧：可在动作完成点尾裁"
"5","E05-05","2","44.5","49","4.5","5","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E05-05\f2.png","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E05-05\f3.png","许潮：“高嵩开的船，他要赶在检查前运走六桶。”（来自旧录音，压低声音快速报告）","使用尾帧：整段匀速变速到 4.5s，禁止尾裁；仅首帧：可在动作完成点尾裁"
"5","E05-05","3","49","52.5","3.5","4","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E05-05\f3.png","","动作：镜头开始时许知遥已经戴好薄手套；程野放下唯一一张潮湿卷曲的联单，她开始慢慢展开。联单尚未装袋。","在动作完成点尾裁到 3.5s"
"5","E05-06","1","52.5","56.5","4","4","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E05-06\f1.png","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E05-06\f2.png","许知遥：“六行编号，和货仓清单一模一样。”（逐行核对）","可保留精确尾帧，无需裁切"
"5","E05-06","2","56.5","59.5","3","4","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E05-06\f2.png","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E05-06\f3.png","程野指向同一张联单右下角缺一角、向左带短晕尾的暗紫方章：‘右下角，是他的私章。’","使用尾帧：整段匀速变速到 3s，禁止尾裁；仅首帧：可在动作完成点尾裁"
"5","E05-06","3","59.5","64","4.5","5","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E05-06\f3.png","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E05-06\f4.png","动作：许知遥用无字回拨控件执行一次倒回操作，随后闭口听录音；画面只显示抽象波形，不显示数字、时间码或按钮文字。","使用尾帧：整段匀速变速到 4.5s，禁止尾裁；仅首帧：可在动作完成点尾裁"
"5","E05-06","4","64","67.5","3.5","4","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E05-06\f4.png","","动作：录音深处传来孩子连续的哭声。；许潮：“舱里还有孩子。”（一边跑一边说）","在动作完成点尾裁到 3.5s"
"5","E05-07","1","67.5","70.5","3","4","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E05-07\f1.png","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E05-07\f2.png","许潮：“我回去带他出来。”（没有犹豫）","使用尾帧：整段匀速变速到 3s，禁止尾裁；仅首帧：可在动作完成点尾裁"
"5","E05-07","2","70.5","74","3.5","4","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E05-07\f2.png","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E05-07\f3.png","动作：急促脚步声远去，爆音随即盖过录音。；许知遥：“哥。”（第一次失去平稳）","使用尾帧：整段匀速变速到 3.5s，禁止尾裁；仅首帧：可在动作完成点尾裁"
"5","E05-07","3","74","77.5","3.5","4","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E05-07\f3.png","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E05-07\f4.png","画面采用动作终态：耳机已经摘下并放在台面，许知遥双手撑住修复台、半起身、闭口；‘摘下再撑住’的过程留给后期视频运动。","使用尾帧：整段匀速变速到 3.5s，禁止尾裁；仅首帧：可在动作完成点尾裁"
"5","E05-07","4","77.5","80.5","3","4","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E05-07\f4.png","","许潮：“我不是跟爸赌气跑掉的。”（声音被潮声逐渐淹没）","在动作完成点尾裁到 3s"
"5","E05-08","1","80.5","84","3.5","4","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E05-08\f1.png","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E05-08\f2.png","动作：许知遥把同一台摔裂电台放在联单旁；联单只铺在保育衬纸上，尚未装进透明袋。程野说：‘他留下证据，又回去救人。’","使用尾帧：整段匀速变速到 3.5s，禁止尾裁；仅首帧：可在动作完成点尾裁"
"5","E05-08","2","84","87.5","3.5","4","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E05-08\f2.png","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E05-08\f3.png","许知遥：“高嵩把他的选择，改成了罪。”（重新稳住声音）","使用尾帧：整段匀速变速到 3.5s，禁止尾裁；仅首帧：可在动作完成点尾裁"
"5","E05-08","3","87.5","91.5","4","4","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E05-08\f3.png","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E05-08\f4.png","动作：程野打开手机里的残缺录音。；高嵩：“她的学籍和住处，都在我手里。”（手机残录，断续但可辨）","可保留精确尾帧，无需裁切"
"5","E05-08","4","91.5","95","3.5","4","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E05-08\f4.png","","高嵩：“要想保住女儿，就让他签。”（手机残录，尾句被杂音切断）","在动作完成点尾裁到 3.5s"
"5","E05-09","1","95","98.5","3.5","4","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E05-09\f1.png","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E05-09\f2.png","动作：许知遥把唯一一张父亲责任书放在同一张尚未装袋的联单旁，眼睛停在模糊签名上，说：‘爸不是认罪。他是在替我挡。’P05 右下角必须完整入画，蓝黑模糊签名和褪色椭圆印可辨但不可读；两张纸分别裸放在中性衬纸上。只有许知遥入画并开口；程野、P06 手机、摔裂电台、金属文件筒、三个备份盘和透明保护袋均不出现。她表达的是个人判断，不是已核实结论或免责认定。","使用尾帧：整段匀速变速到 3.5s，禁止尾裁；仅首帧：可在动作完成点尾裁"
"5","E05-09","2","98.5","103","4.5","5","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E05-09\f2.png","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E05-09\f3.png","程野逐件确认恰好三件不同证物：一台摔裂电台、一张尚未装袋的联单和一张责任书，并说：‘录音、联单、责任书，现在能互相对上。’P01 保留黑色熔痕、右侧裂开结构、盐霜擦痕和弯天线；P05 右下蓝黑模糊签名与褪色椭圆印入画但不可读。只有程野开口，许知遥闭口；不出现手机、备份盘、透明袋、重复证物或可读文字。这里仅表示调查线索可以相互印证，不代表真实性鉴定、定罪或免责。","使用尾帧：整段匀速变速到 4.5s，禁止尾裁；仅首帧：可在动作完成点尾裁"
"5","E05-09","3","103","106","3","4","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E05-09\f3.png","","许知遥从证物方向抬眼看向同一扇铁丝玻璃窗外，说：‘还差公开。’窗户原有的放射状蛛裂必须保留在同一位置，玻璃不能自动修复。只有许知遥入画并开口；其他人物、全部证物和所有屏幕均在画外，不生成可读文字、界面或字幕。","在动作完成点尾裁到 3s"
"5","E05-10","1","106","109.5","3.5","4","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E05-10\f1.png","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E05-10\f2.png","动作：许知遥把修复录音复制到恰好三个无标签、彼此独立的存储盘，并把音频校验摘要、联单照片和复查申请通过预先确认的受理通道提交；原始联单仍在现场由程野装入唯一一个透明保护袋。此镜不生成可读界面，两人嘴唇完全闭合。","使用尾帧：整段匀速变速到 3.5s，禁止尾裁；仅首帧：可在动作完成点尾裁"
"5","E05-10","2","109.5","112.5","3","4","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E05-10\f2.png","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E05-10\f3.png","联单已经完全进入同一个透明保护袋，袋口完全封闭，没有纸边外露，之后绝不再打开。程野拿起唯一一袋联单，独自开口说：‘去渡口。’只出现程野和这一袋联单；不出现散纸、重复证物、电台、手机、存储盘或可读文字。","使用尾帧：整段匀速变速到 3s，禁止尾裁；仅首帧：可在动作完成点尾裁"
"5","E05-10","3","112.5","116","3.5","4","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E05-10\f3.png","","动作：许知遥拿同一台未修复的摔裂电台，黑色熔痕、右侧裂开结构、盐霜擦痕和弯天线保持不变；程野拿已完全装入且袋口完全封闭的唯一一袋联单，绝不打开。两人闭口快步走向门口；出发前，程野已把同一部裂屏残录手机完全收入内侧口袋并随身带走，手机不出画；恰好三个存储盘留在台面。距九点一分钟只由画外闹钟声提示，不显示手机、数字或界面。","在动作完成点尾裁到 3.5s"
