"集","段","镜","集内开始秒","集内结束秒","设计时长","H3兜底生成时长","首帧","可选尾帧","中文内容","剪辑备注"
"2","E02-06","2","62.5","66","3.5","4","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E02-06\f2.png","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E02-06\f3.png","动作：她把黄铜钥匙插进新挂锁。；动作：钥匙无法转动。","使用尾帧：整段匀速变速到 3.5s，禁止尾裁；仅首帧：可在动作完成点尾裁"
"2","E02-06","3","66","68","2","4","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E02-06\f3.png","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E02-06\f4.png","许知遥：“锁是后来换的。”（迅速判断）","使用尾帧：整段匀速变速到 2s，禁止尾裁；仅首帧：可在动作完成点尾裁"
"2","E02-06","4","68","70.5","2.5","4","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E02-06\f4.png","","动作：程野推开虚掩的侧门。","在动作完成点尾裁到 2.5s"
"2","E02-07","1","70.5","73.5","3","4","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E02-07\f1.png","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E02-07\f2.png","动作：两人进入昏暗货仓。","使用尾帧：整段匀速变速到 3s，禁止尾裁；仅首帧：可在动作完成点尾裁"
"2","E02-07","2","73.5","77.5","4","4","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E02-07\f2.png","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E02-07\f3.png","动作：后墙报警器亮起琥珀灯。；动作：蜂鸣与电台录音重叠。","可保留精确尾帧，无需裁切"
"2","E02-07","3","77.5","79.5","2","4","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E02-07\f3.png","","程野：“就是这个声音。”（确认）","在动作完成点尾裁到 2s"
"2","E02-08","1","79.5","82","2.5","4","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E02-08\f1.png","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E02-08\f2.png","动作：许知遥走到嵌墙消防柜前。","使用尾帧：整段匀速变速到 2.5s，禁止尾裁；仅首帧：可在动作完成点尾裁"
"2","E02-08","2","82","85.5","3.5","4","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E02-08\f2.png","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E02-08\f3.png","动作：她把钥匙插进消防柜锁孔。；动作：消防柜门弹开。","使用尾帧：整段匀速变速到 3.5s，禁止尾裁；仅首帧：可在动作完成点尾裁"
"2","E02-08","3","85.5","87.5","2","4","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E02-08\f3.png","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E02-08\f4.png","许知遥：“它开的是这里。”（意外）","使用尾帧：整段匀速变速到 2s，禁止尾裁；仅首帧：可在动作完成点尾裁"
"2","E02-08","4","87.5","90.5","3","4","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E02-08\f4.png","","动作：程野取出发霉的值班日志。","在动作完成点尾裁到 3s"
"2","E02-09","1","90.5","94.5","4","4","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E02-09\f1.png","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E02-09\f2.png","动作：许知遥翻到七月十九日。；许知遥：“一点二十分，许德海当班。”（读出记录）","可保留精确尾帧，无需裁切"
"2","E02-09","2","94.5","99","4.5","5","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E02-09\f2.png","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E02-09\f3.png","程野：“可一点四十七，报警器还在录音里。”（盯住两条时间）","使用尾帧：整段匀速变速到 4.5s，禁止尾裁；仅首帧：可在动作完成点尾裁"
"2","E02-09","3","99","103","4","4","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E02-09\f3.png","","动作：许知遥把日志放到电台旁。；许知遥：“哥哥在这儿，爸却被写在船上。”（愤怒渐起）","按设计时长输出"
"2","E02-10","1","103","107","4","4","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E02-10\f1.png","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E02-10\f2.png","动作：程野蹲在消防柜边。；程野：“许叔那天不是怕我找到船。”（终于直面记忆）","可保留精确尾帧，无需裁切"
"2","E02-10","2","107","109","2","4","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E02-10\f2.png","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E02-10\f3.png","许知遥：“那他怕什么？”（逼问）","使用尾帧：整段匀速变速到 2s，禁止尾裁；仅首帧：可在动作完成点尾裁"
"2","E02-10","3","109","113.5","4.5","5","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E02-10\f3.png","","动作：程野抬头看向货仓深处。；程野：“他当时盯着这里，只说谁都不要再找。”（低声，留下疑点）","在动作完成点尾裁到 4.5s"
