"集","段","镜","集内开始秒","集内结束秒","角色","表演提示","台词","状态"
"4","E04-04","2","42.2","44.8","许知遥","不让他绕开","我哥为什么会在货仓？","时间为分镜自动草稿，待真人/模型配音后回校"
"4","E04-04","3","45.2","48.3","高嵩","语气里带着轻蔑","他偷了电台，想学大人报险。","时间为分镜自动草稿，待真人/模型配音后回校"
"4","E04-04","4","48.7","51.8","高嵩","刻意放慢","最后，他把自己送上了船。","时间为分镜自动草稿，待真人/模型配音后回校"
"4","E04-05","1","52.2","56.3","许知遥","声线更低","你连一个不能开口的孩子都要推过去。","时间为分镜自动草稿，待真人/模型配音后回校"
"4","E04-05","2","56.7","61.3","高嵩","礼貌中露出威胁","我是在提醒你，查下去，你连最后的家也保不住。","时间为分镜自动草稿，待真人/模型配音后回校"
"4","E04-06","1","65.2","68.3","高嵩","笑意已经消失","录到了什么？","时间为分镜自动草稿，待真人/模型配音后回校"
"4","E04-06","2","68.7","71.3","程野","短促，转身前回答","够你解释很久。","时间为分镜自动草稿，待真人/模型配音后回校"
"4","E04-07","2","78.2","81.3","高嵩","呼吸略乱，重新挤出笑","现在，你还剩什么？","时间为分镜自动草稿，待真人/模型配音后回校"
"4","E04-07","3","81.7","84.8","许知遥","平静得没有停顿","三份备份。","时间为分镜自动草稿，待真人/模型配音后回校"
"4","E04-07","4","85.2","88.8","许知遥","把断裂存储板装回外壳","档案修复，从来不在原介质上做。","时间为分镜自动草稿，待真人/模型配音后回校"
"4","E04-08","1","89.2","93.8","程野","站到许知遥身边","你毁掉的，只是我们愿意让你看见的那份。","时间为分镜自动草稿，待真人/模型配音后回校"
"4","E04-08","2","94.2","97.3","高嵩","不再掩饰威胁","明早九点，拆迁启动。","时间为分镜自动草稿，待真人/模型配音后回校"
"4","E04-08","3","97.7","100.8","高嵩","目光落在程野的手机上","里面的湿纸，一张都留不住。","时间为分镜自动草稿，待真人/模型配音后回校"
"4","E04-09","1","101.2","104.8","程野","故意把水下两个字说重","你越急，水下那份东西越值得找。","时间为分镜自动草稿，待真人/模型配音后回校"
"4","E04-09","2","105.2","108.3","许知遥","立刻转向程野","刚才录到了多少？","时间为分镜自动草稿，待真人/模型配音后回校"
"4","E04-09","4","112.2","115.8","高嵩","来自手机残录，失真而断裂","她的学籍……住处……让他签。","时间为分镜自动草稿，待真人/模型配音后回校"
"5","E05-01","2","4.2","7.3","程野","对着耳机，已经开始调整呼吸","知遥，给我十五分钟。","时间为分镜自动草稿，待真人/模型配音后回校"
"5","E05-01","3","7.7","11.3","画外音","许知遥从电话里传来，克制而急促","退潮只剩十二分钟，别逞强。","时间为分镜自动草稿，待真人/模型配音后回校"
"5","E05-02","1","11.7","15.3","程野","短暂停顿后说完","十五年前，我已经退过一次。","时间为分镜自动草稿，待真人/模型配音后回校"
"5","E05-02","3","19.7","22.8","画外音","许知遥从耳机里呼叫","程野，回话。","时间为分镜自动草稿，待真人/模型配音后回校"
"5","E05-03","1","23.2","26.8","程野","喘息很重","找到了。","时间为分镜自动草稿，待真人/模型配音后回校"
"5","E05-04","1","31.2","34.8","画外音","许知遥迅速下令","别展开，马上带回来。","时间为分镜自动草稿，待真人/模型配音后回校"
"5","E05-04","2","35.2","37.8","程野","声音第一次发抖","筒盖上有许潮的潮记。","时间为分镜自动草稿，待真人/模型配音后回校"
"5","E05-05","2","44.7","48.8","许潮","来自旧录音，压低声音快速报告","高嵩开的船，他要赶在检查前运走六桶。","时间为分镜自动草稿，待真人/模型配音后回校"
"5","E05-06","1","52.7","56.3","许知遥","逐行核对","六行编号，和货仓清单一模一样。","时间为分镜自动草稿，待真人/模型配音后回校"
"5","E05-06","2","56.7","59.3","程野","指向印章，句尾收紧","右下角，是他的私章。","时间为分镜自动草稿，待真人/模型配音后回校"
"5","E05-06","3","59.7","63.8","许潮","喘息急促","电台藏在救生圈里，位置我报过了。","时间为分镜自动草稿，待真人/模型配音后回校"
"5","E05-06","4","64.2","67.3","许潮","一边跑一边说","舱里还有孩子。","时间为分镜自动草稿，待真人/模型配音后回校"
"5","E05-07","1","67.7","70.3","许潮","没有犹豫","我回去带他出来。","时间为分镜自动草稿，待真人/模型配音后回校"
"5","E05-07","2","70.7","73.8","许知遥","第一次失去平稳","哥。","时间为分镜自动草稿，待真人/模型配音后回校"
"5","E05-07","3","74.2","77.3","许潮","录音恢复后再次出现","知遥长大以后，告诉她。","时间为分镜自动草稿，待真人/模型配音后回校"
"5","E05-07","4","77.7","80.3","许潮","声音被潮声逐渐淹没","我不是跟爸赌气跑掉的。","时间为分镜自动草稿，待真人/模型配音后回校"
"5","E05-08","1","80.7","83.8","程野","看着电台，缓慢说出","他留下证据，又回去救人。","时间为分镜自动草稿，待真人/模型配音后回校"
"5","E05-08","2","84.2","87.3","许知遥","重新稳住声音","高嵩把他的选择，改成了罪。","时间为分镜自动草稿，待真人/模型配音后回校"
"5","E05-08","3","87.7","91.3","高嵩","手机残录，断续但可辨","她的学籍和住处，都在我手里。","时间为分镜自动草稿，待真人/模型配音后回校"
"5","E05-08","4","91.7","94.8","高嵩","手机残录，尾句被杂音切断","要想保住女儿，就让他签。","时间为分镜自动草稿，待真人/模型配音后回校"
"5","E05-09","1","95.2","98.3","许知遥","眼睛停在签名上","爸不是认罪。他是在替我挡。","时间为分镜自动草稿，待真人/模型配音后回校"
"5","E05-09","2","98.7","102.8","程野","逐件确认","录音、联单、责任书，现在能互相对上。","时间为分镜自动草稿，待真人/模型配音后回校"
"5","E05-09","3","103.2","105.8","许知遥","抬头看向窗外","还差公开。","时间为分镜自动草稿，待真人/模型配音后回校"
"5","E05-10","2","109.7","112.3","程野","拿起已封闭的保护袋","去渡口。","时间为分镜自动草稿，待真人/模型配音后回校"
"6","E06-01","2","4.7","9.3","许知遥","面对高嵩，语气稳定","你拔一根线，我还有三份备份。","时间为分镜自动草稿，待真人/模型配音后回校"
"6","E06-01","3","9.7","14.3","高嵩","努力维持体面","这是拆迁仪式，不是你的修复室。","时间为分镜自动草稿，待真人/模型配音后回校"
"6","E06-02","1","14.7","18.3","程野","让每个字落清","六桶编号，都在这儿。","时间为分镜自动草稿，待真人/模型配音后回校"
"6","E06-02","2","18.7","22.3","高嵩","提高音量压住现场","一张泡烂的纸，也配叫证据？","时间为分镜自动草稿，待真人/模型配音后回校"
"6","E06-02","3","22.7","25.8","许知遥","不与他争吵","所以请所有人一起核对。","时间为分镜自动草稿，待真人/模型配音后回校"
"6","E06-03","1","26.2","29.8","许潮","旧录音里的少年声音，紧张但清楚","七月十九日，一点四十七分。","时间为分镜自动草稿，待真人/模型配音后回校"
"6","E06-03","2","30.2","33.3","许潮","急促喘息中报出位置","我还在货仓外。","时间为分镜自动草稿，待真人/模型配音后回校"
"6","E06-03","3","33.7","37.3","高嵩","控制第一次崩开","关掉！","时间为分镜自动草稿，待真人/模型配音后回校"
"6","E06-04","1","37.7","41.3","许知遥","把音量推高","你怕的不是噪声，是时间。","时间为分镜自动草稿，待真人/模型配音后回校"
"6","E06-04","2","41.7","45.8","许潮","录音里快速报告","高嵩拿了备用钥匙，亲自开船。","时间为分镜自动草稿，待真人/模型配音后回校"
"6","E06-04","3","46.2","49.3","高嵩","指向音响","那是个孩子胡说！","时间为分镜自动草稿，待真人/模型配音后回校"
"6","E06-05","1","49.7","53.3","程野","手指隔着封闭透明袋沿六行编号向下移动","六桶，不是两桶。","时间为分镜自动草稿，待真人/模型配音后回校"
"6","E06-05","2","53.7","56.8","许知遥","逐项对账","编号连续，私章也在。","时间为分镜自动草稿，待真人/模型配音后回校"
"6","E06-05","3","57.2","61.3","高嵩","退回最后一道旧结论","责任书还在，许德海洗不干净。","时间为分镜自动草稿，待真人/模型配音后回校"
"6","E06-06","1","61.7","64.8","许知遥","没有回避","责任书也会进鉴定。","时间为分镜自动草稿，待真人/模型配音后回校"
"6","E06-06","2","65.2","68.8","程野","直视高嵩","这一次，谁也扔不回水里。","时间为分镜自动草稿，待真人/模型配音后回校"
"6","E06-06","3","69.2","73.8","画外音","电话里的项目主管，急促而正式","现场拆迁暂停，所有材料原地封存。","时间为分镜自动草稿，待真人/模型配音后回校"
"6","E06-07","1","74.2","77.8","程野","让残录声穿过现场","还有你的原话，一份不少。","时间为分镜自动草稿，待真人/模型配音后回校"
"6","E06-07","2","78.2","82.3","高嵩","急着替自己定性","断断续续的东西，证明不了什么。","时间为分镜自动草稿，待真人/模型配音后回校"
"6","E06-07","3","82.7","86.3","高嵩","握着手机，声音发紧","暂停不等于翻案。","时间为分镜自动草稿，待真人/模型配音后回校"
"6","E06-08","1","86.7","90.8","许知遥","把同一台摔裂电台放到始终封闭的透明袋旁","对。接下来每一项，都公开核验。","时间为分镜自动草稿，待真人/模型配音后回校"
"6","E06-08","2","91.2","95.8","画外音","电话扩音里的正式通知，仅表示受理而非结论","此前提交的七一九事故材料已受理，启动复查。","时间为分镜自动草稿，待真人/模型配音后回校"
"6","E06-09","1","99.7","103.3","程野","站在两级石阶上","至少今天，他们停了。","时间为分镜自动草稿，待真人/模型配音后回校"
"6","E06-09","2","103.7","105.8","许知遥","整理电台的归档支架","不是为了赢。","时间为分镜自动草稿，待真人/模型配音后回校"
"6","E06-09","2","106.2","108.3","许知遥","贴好新的档案标签","是让每一件证据，都能被核验。","时间为分镜自动草稿，待真人/模型配音后回校"
