"集","段","开始秒","结束秒","场景","环境声/拟音中文建议","音乐中文建议","状态"
"2","E02-01","0","13","许知遥临时声音修复室","按画面动作同步拟音：动作：程野收到许知遥连夜发来的报时片段和时间疑点后，带着事故记录快步推门进来，把记录压到滚动的报时波形旁。；程野：“官方写一点二十分离岸。”（低沉，直接进入正题）；动作：许知遥把电台录音拉回蜂鸣处。；许知遥：“这段报时在一点四十七。”（逐字核对）；动作：她按下播放。","以克制的悬疑氛围为主，保持对白清晰；在 E02-01 结尾根据下一段转折做弱收束或悬停。","待配音剪辑阶段确认"
"2","E02-02","13","22.5","许知遥临时声音修复室","按画面动作同步拟音：许潮：“七月十九，一点四十七。”（录音，远而破碎）；动作：程野靠近扬声器。；动作：规律蜂鸣再次穿过潮声。；程野：“这是货仓防潮报警器。”（确认，语气发沉）","以克制的悬疑氛围为主，保持对白清晰；在 E02-02 结尾根据下一段转折做弱收束或悬停。","待配音剪辑阶段确认"
"2","E02-03","22.5","35.5","许知遥临时声音修复室","按画面动作同步拟音：许知遥：“不是船上的？”（迅速追问）；动作：程野摇头。；程野：“每三十秒一次，我从小听到大。”（笃定）；动作：许知遥把两条时间写在同一张纸上。；许知遥：“哥哥那时还在岸上。”（压住激动）；程野：“至少有一份记录是假的。”（简短，回避她的目光）","以克制的悬疑氛围为主，保持对白清晰；在 E02-03 结尾根据下一段转折做弱收束或悬停。","待配音剪辑阶段确认"
"2","E02-04","35.5","45.5","许知遥临时声音修复室","按画面动作同步拟音：动作：许知遥注意到他的回避。；许知遥：“你还知道什么？”（冷下来）；动作：程野握紧椅背。；程野：“事故第二天，我捡到过半块船牌。”（停顿后承认）","以克制的悬疑氛围为主，保持对白清晰；在 E02-04 结尾根据下一段转折做弱收束或悬停。","待配音剪辑阶段确认"
"2","E02-05","45.5","59.5","许知遥临时声音修复室","按画面动作同步拟音：许知遥：“船牌呢？”（立刻追问）；动作：程野松开椅背。；程野：“被我扔回水里了。”（负疚，句尾收短）；许知遥：“谁让你扔的？”（声音发硬）；动作：程野看向桌上的父亲旧照。；程野：“许叔。”（很轻）；动作：许知遥抓起黄铜钥匙。；许知遥：“去货仓。现在。”（果断）","以克制的悬疑氛围为主，保持对白清晰；在 E02-05 结尾根据下一段转折做弱收束或悬停。","待配音剪辑阶段确认"
"2","E02-06","59.5","70.5","旧渡口货仓","按画面动作同步拟音：动作：许知遥快步走到货仓钢门前。；动作：她把黄铜钥匙插进新挂锁。；动作：钥匙无法转动。；许知遥：“锁是后来换的。”（迅速判断）；动作：程野推开虚掩的侧门。","以克制的悬疑氛围为主，保持对白清晰；在 E02-06 结尾根据下一段转折做弱收束或悬停。","待配音剪辑阶段确认"
"2","E02-07","70.5","79.5","旧渡口货仓","按画面动作同步拟音：动作：两人进入昏暗货仓。；动作：后墙报警器亮起琥珀灯。；动作：蜂鸣与电台录音重叠。；程野：“就是这个声音。”（确认）","以克制的悬疑氛围为主，保持对白清晰；在 E02-07 结尾根据下一段转折做弱收束或悬停。","待配音剪辑阶段确认"
"2","E02-08","79.5","90.5","旧渡口货仓","按画面动作同步拟音：动作：许知遥走到嵌墙消防柜前。；动作：她把钥匙插进消防柜锁孔。；动作：消防柜门弹开。；许知遥：“它开的是这里。”（意外）；动作：程野取出发霉的值班日志。","以克制的悬疑氛围为主，保持对白清晰；在 E02-08 结尾根据下一段转折做弱收束或悬停。","待配音剪辑阶段确认"
"2","E02-09","90.5","103","旧渡口货仓","按画面动作同步拟音：动作：许知遥翻到七月十九日。；许知遥：“一点二十分，许德海当班。”（读出记录）；程野：“可一点四十七，报警器还在录音里。”（盯住两条时间）；动作：许知遥把日志放到电台旁。；许知遥：“哥哥在这儿，爸却被写在船上。”（愤怒渐起）","以克制的悬疑氛围为主，保持对白清晰；在 E02-09 结尾根据下一段转折做弱收束或悬停。","待配音剪辑阶段确认"
"2","E02-10","103","113.5","旧渡口货仓","按画面动作同步拟音：动作：程野蹲在消防柜边。；程野：“许叔那天不是怕我找到船。”（终于直面记忆）；许知遥：“那他怕什么？”（逼问）；动作：程野抬头看向货仓深处。；程野：“他当时盯着这里，只说谁都不要再找。”（低声，留下疑点）","以克制的悬疑氛围为主，保持对白清晰；在 E02-10 结尾根据下一段转折做弱收束或悬停。","待配音剪辑阶段确认"
"3","E03-01","0","12","旧渡口货仓","按画面动作同步拟音：动作：货仓侧门被巡场人员发现开启后，高嵩接到通知快步赶来，一把按住刚从消防柜取出的发霉值班日志。；高嵩：“旧纸受潮，碰坏了没人负责。”（温和，手没有松开）；动作：许知遥把值班日志从他手下抽走，并与程野带来的事故记录并排。；许知遥：“一点二十仍值班，一点四十七仍报警。”（冷静核对两条时间）；动作：程野的手指在值班日志与事故记录的时间栏之间移动。；程野：“可事故记录写他一点二十已经开船。”（简短，指出记录冲突）","以克制的悬疑氛围为主，保持对白清晰；在 E03-01 结尾根据下一段转折做弱收束或悬停。","待配音剪辑阶段确认"
"3","E03-02","12","23.5","旧渡口货仓","按画面动作同步拟音：动作：高嵩整理被碰皱的袖口。；高嵩：“十五年前的纸，能说明什么？”（保持笑意）；动作：许知遥把电台放到日志旁。；许知遥：“能说明你急着清掉这里。”（观察他的反应）；高嵩：“我是在替你父亲留体面。”（替她定义利害）","以克制的悬疑氛围为主，保持对白清晰；在 E03-02 结尾根据下一段转折做弱收束或悬停。","待配音剪辑阶段确认"
"3","E03-03","23.5","35.5","旧渡口货仓","按画面动作同步拟音：动作：他把责任书推到许知遥面前。；高嵩：“签名是他的，责任也是他的。”（音量不高，句句压人）；动作：许知遥拿起责任书。；许知遥：“一点四十七，他不在船上。”（逐字核对）；高嵩：“录音修出来什么，全凭你说。”（轻描淡写）","以克制的悬疑氛围为主，保持对白清晰；在 E03-03 结尾根据下一段转折做弱收束或悬停。","待配音剪辑阶段确认"
"3","E03-04","35.5","48","旧渡口货仓","按画面动作同步拟音：动作：程野挡在电台前。；程野：“报警器不会替她撒谎。”（低沉）；动作：货仓外传来拆迁设备启动声。；动作：高嵩转身走向门口。；高嵩：“我给你们十分钟。”（平静施压）；高嵩：“遗物交给我，旧事到此为止。”（像谈交易）","以克制的悬疑氛围为主，保持对白清晰；在 E03-04 结尾根据下一段转折做弱收束或悬停。","待配音剪辑阶段确认"
"3","E03-05","48","55","旧渡口货仓","按画面动作同步拟音：动作：他走出货仓接起电话。；动作：程野重新蹲到消防柜前。；动作：他从夹层抽出油纸包裹的清单。；程野：“他怕的不是电台，是这个。”（压低声音）","以克制的悬疑氛围为主，保持对白清晰；在 E03-05 结尾根据下一段转折做弱收束或悬停。","待配音剪辑阶段确认"
"3","E03-06","55","65","旧渡口货仓","按画面动作同步拟音：动作：许知遥把高嵩私章与六行数量拍进手机。；许知遥：“先留副本。”（恢复专业冷静）；动作：许知遥把黄铜钥匙放到清单旁。；动作：程野查看钥匙环上的两道压痕。；程野：“这不像普通磨损。”（低声确认）","以克制的悬疑氛围为主，保持对白清晰；在 E03-06 结尾根据下一段转折做弱收束或悬停。","待配音剪辑阶段确认"
"3","E03-07","65","78","许知遥临时声音修复室","按画面动作同步拟音：动作：许知遥抱着电台快步回到修复台前。；动作：她插入已经保存的原始副本。；许知遥：“蜂鸣之后还有人声。”（盯住波形）；动作：程野关上房门。；动作：许知遥提高蜂鸣后的低频人声。；许潮：“爸被他们按在货仓里。”（录音，压低声音）","以克制的悬疑氛围为主，保持对白清晰；在 E03-07 结尾根据下一段转折做弱收束或悬停。","待配音剪辑阶段确认"
"3","E03-08","78","91.5","许知遥临时声音修复室","按画面动作同步拟音：动作：许知遥的手停在播放键上。；许知遥：“他在货仓。”（确认事实，气息发紧）；程野：“所以他不可能开船。”（立刻接上证据链）；动作：录音里传来铁门撞击声。；许德海：“不能开船！”（录音远声，粗哑用力）；许潮：“爸咬着正钥匙，抱着栏杆。”（录音，急促喘息）","以克制的悬疑氛围为主，保持对白清晰；在 E03-08 结尾根据下一段转折做弱收束或悬停。","待配音剪辑阶段确认"
"3","E03-09","91.5","105.5","许知遥临时声音修复室","按画面动作同步拟音：动作：许知遥从修复台前站起来。；许知遥：“他签字，不等于他开船。”（克制而确定）；动作：录音远处传来高嵩的喊声。；高嵩：“拿备用钥匙！”（录音远声，命令）；动作：发动机声盖过报警蜂鸣。；许潮：“船开了。爸还在这里。”（录音，恐惧却清楚）；动作：许知遥摘下耳机。；许知遥：“开船的是高嵩。”（结论落定）","以克制的悬疑氛围为主，保持对白清晰；在 E03-09 结尾根据下一段转折做弱收束或悬停。","待配音剪辑阶段确认"
"3","E03-10","105.5","116","许知遥临时声音修复室","按画面动作同步拟音：动作：程野把油纸清单摊在责任书旁。；程野：“六桶溶剂，私章也在。”（指向清单）；许知遥：“还差事故船上的原始联单。”（不被胜利冲昏）；动作：她把音轨继续拖向许潮登船前的空白段。；动作：耳机里突然传来许潮奔向栈桥的脚步声。","以克制的悬疑氛围为主，保持对白清晰；在 E03-10 结尾根据下一段转折做弱收束或悬停。","待配音剪辑阶段确认"
"4","E04-01","0","12.5","旧渡口货仓","按画面动作同步拟音：动作：为抢在次日九点拆迁前复核并转移剩余湿纸，许知遥与程野连夜返回货仓；程野留在门外备份取证，高嵩快步穿过门口，张开手臂拦住抱着电台离开的许知遥。；高嵩：“跑这么急，是怕我先找到那张清单？”（语气从容，像在谈一笔普通生意）；许知遥：“我怕的是你把货仓推平。”（站定，声音冷静）；动作：许知遥把电台收进外套内侧，转身走向门口。；动作：高嵩从文件夹里抽出一页房产资料，递到她面前。","以克制的悬疑氛围为主，保持对白清晰；在 E04-01 结尾根据下一段转折做弱收束或悬停。","待配音剪辑阶段确认"
"4","E04-02","12.5","26.5","旧渡口货仓","按画面动作同步拟音：高嵩：“城里一套房，换电台和清单。今晚就签。”（音量不高，句句留出逼人答应的停顿）；许知遥：“你买得这么急，说明六桶不是笔误。”（盯着他，不接资料）；动作：高嵩收回资料，反手把货仓门关上。；高嵩：“多出来的溶剂，我没否认。”（笑意不变）","以克制的悬疑氛围为主，保持对白清晰；在 E04-02 结尾根据下一段转折做弱收束或悬停。","待配音剪辑阶段确认"
"4","E04-03","26.5","37","旧渡口货仓","按画面动作同步拟音：许知遥：“那晚是谁开的船？”（追问得很快）；高嵩：“雷打下来，谁开都一样。”（轻描淡写）；许知遥：“我爸被锁在这儿。”（压住怒意）","以克制的悬疑氛围为主，保持对白清晰；在 E04-03 结尾根据下一段转折做弱收束或悬停。","待配音剪辑阶段确认"
"4","E04-04","37","52","旧渡口货仓","按画面动作同步拟音：动作：高嵩转身拍了拍锈蚀的钢门。；高嵩：“他后来签了字，因为他知道许潮上了船。”（替死者下结论）；许知遥：“我哥为什么会在货仓？”（不让他绕开）；高嵩：“他偷了电台，想学大人报险。”（语气里带着轻蔑）；高嵩：“最后，他把自己送上了船。”（刻意放慢）","以克制的悬疑氛围为主，保持对白清晰；在 E04-04 结尾根据下一段转折做弱收束或悬停。","待配音剪辑阶段确认"
"4","E04-05","52","65","旧渡口货仓","按画面动作同步拟音：动作：门外的程野抬起手机，把收音口贴近门缝。；许知遥：“你连一个不能开口的孩子都要推过去。”（声线更低）；高嵩：“我是在提醒你，查下去，你连最后的家也保不住。”（礼貌中露出威胁）；动作：高嵩低头看见门缝下晃动的人影。；动作：高嵩一把拉开货仓门。","以克制的悬疑氛围为主，保持对白清晰；在 E04-05 结尾根据下一段转折做弱收束或悬停。","待配音剪辑阶段确认"
"4","E04-06","65","74.5","旧渡口货仓","按画面动作同步拟音：动作：程野后退两步，手机仍举在胸前。；高嵩：“录到了什么？”（笑意已经消失）；程野：“够你解释很久。”（短促，转身前回答）；动作：程野转身跑向候船厅，高嵩立即追了出去。","以克制的悬疑氛围为主，保持对白清晰；在 E04-06 结尾根据下一段转折做弱收束或悬停。","待配音剪辑阶段确认"
"4","E04-07","74.5","89","南堤旧渡口候船厅与栈桥","按画面动作同步拟音：动作：程野跑下石阶，许知遥抱着电台紧跟在后。；动作：高嵩转身夺过电台，用力摔在石阶上。；动作：橙色外壳裂开，存储板从缝里滑了出来。；高嵩：“现在，你还剩什么？”（呼吸略乱，重新挤出笑）；动作：许知遥蹲下捡起裂开的电台。；许知遥：“三份备份。”（平静得没有停顿）；动作：高嵩停在石阶上，没有再往前走。；许知遥：“档案修复，从来不在原介质上做。”（把断裂存储板装回外壳）","以克制的悬疑氛围为主，保持对白清晰；在 E04-07 结尾根据下一段转折做弱收束或悬停。","待配音剪辑阶段确认"
"4","E04-08","89","101","南堤旧渡口候船厅与栈桥","按画面动作同步拟音：程野：“你毁掉的，只是我们愿意让你看见的那份。”（站到许知遥身边）；动作：高嵩转身指向黑暗中的货仓。；高嵩：“明早九点，拆迁启动。”（不再掩饰威胁）；高嵩：“里面的湿纸，一张都留不住。”（目光落在程野的手机上）","以克制的悬疑氛围为主，保持对白清晰；在 E04-08 结尾根据下一段转折做弱收束或悬停。","待配音剪辑阶段确认"
"4","E04-09","101","116","南堤旧渡口候船厅与栈桥","按画面动作同步拟音：程野：“你越急，水下那份东西越值得找。”（故意把水下两个字说重）；动作：高嵩沿着栈桥快步离开。；许知遥：“刚才录到了多少？”（立刻转向程野）；动作：程野点开手机里的残缺录音。；动作：爆音过后，手机里挤出三个断续词组。；高嵩：“她的学籍……住处……让他签。”（来自手机残录，失真而断裂）","以克制的悬疑氛围为主，保持对白清晰；在 E04-09 结尾根据下一段转折做弱收束或悬停。","待配音剪辑阶段确认"
"5","E05-01","0","11.5","沉船点外侧防波堤","按画面动作同步拟音：动作：程野根据十五年前自己丢下半块船牌的位置，并结合许潮录音里奔向栈桥的脚步方向，沿防波堤快步跑下消波块，冲向退潮后露出的水线。；动作：他把安全绳扣在坡面的锈环上。；程野：“知遥，给我十五分钟。”（对着耳机，已经开始调整呼吸）；画外信息：“退潮只剩十二分钟，别逞强。”（许知遥从电话里传来，克制而急促）","以克制的悬疑氛围为主，保持对白清晰；在 E05-01 结尾根据下一段转折做弱收束或悬停。","待配音剪辑阶段确认"
"5","E05-02","11.5","23","沉船点外侧防波堤","按画面动作同步拟音：程野：“十五年前，我已经退过一次。”（短暂停顿后说完）；动作：程野戴好面镜，转身滑入黑色江水。；动作：安全绳沿着湿滑混凝土不断向水里移动。；画外信息：“程野，回话。”（许知遥从耳机里呼叫）","以克制的悬疑氛围为主，保持对白清晰；在 E05-02 结尾根据下一段转折做弱收束或悬停。","待配音剪辑阶段确认"
"5","E05-03","23","31","沉船点外侧防波堤","按画面动作同步拟音：动作：程野突然浮出水面，双臂抱住一只锈死的金属筒。；程野：“找到了。”（喘息很重）；动作：他拖着金属筒爬上混凝土坡面。；动作：程野拧开筒盖。","以克制的悬疑氛围为主，保持对白清晰；在 E05-03 结尾根据下一段转折做弱收束或悬停。","待配音剪辑阶段确认"
"5","E05-04","31","41","沉船点外侧防波堤","按画面动作同步拟音：动作：同一只文件筒的筒盖已经完全旋下；唯一一卷湿联单只滑出一部分，仍留在筒内。程野闭口听许知遥画外下令：‘别展开，马上带回来。’；程野把同一只独立筒盖举到右侧头灯下，辨认无字的半月划痕：‘筒盖上有许潮的潮记。’；动作：程野已把唯一联单完整放回筒内并旋紧同一只筒盖；画面外无纸张。他抱筒沿消波块向岸上奔跑。","以克制的悬疑氛围为主，保持对白清晰；在 E05-04 结尾根据下一段转折做弱收束或悬停。","待配音剪辑阶段确认"
"5","E05-05","41","52.5","许知遥临时声音修复室","按画面动作同步拟音：动作：许知遥闭口按下一个无字播放控件；同一台摔裂电台保持未修复状态，屏幕只出现发动机声带和一个沉闷爆音尖峰，不显示文字或时间码。；许潮：“高嵩开的船，他要赶在检查前运走六桶。”（来自旧录音，压低声音快速报告）；动作：镜头开始时许知遥已经戴好薄手套；程野放下唯一一张潮湿卷曲的联单，她开始慢慢展开。联单尚未装袋。","以克制的悬疑氛围为主，保持对白清晰；在 E05-05 结尾根据下一段转折做弱收束或悬停。","待配音剪辑阶段确认"
"5","E05-06","52.5","67.5","许知遥临时声音修复室","按画面动作同步拟音：许知遥：“六行编号，和货仓清单一模一样。”（逐行核对）；程野指向同一张联单右下角缺一角、向左带短晕尾的暗紫方章：‘右下角，是他的私章。’；动作：许知遥用无字回拨控件执行一次倒回操作，随后闭口听录音；画面只显示抽象波形，不显示数字、时间码或按钮文字。；动作：录音深处传来孩子连续的哭声。；许潮：“舱里还有孩子。”（一边跑一边说）","以克制的悬疑氛围为主，保持对白清晰；在 E05-06 结尾根据下一段转折做弱收束或悬停。","待配音剪辑阶段确认"
"5","E05-07","67.5","80.5","许知遥临时声音修复室","按画面动作同步拟音：许潮：“我回去带他出来。”（没有犹豫）；动作：急促脚步声远去，爆音随即盖过录音。；许知遥：“哥。”（第一次失去平稳）；画面采用动作终态：耳机已经摘下并放在台面，许知遥双手撑住修复台、半起身、闭口；‘摘下再撑住’的过程留给后期视频运动。；许潮：“我不是跟爸赌气跑掉的。”（声音被潮声逐渐淹没）","以克制的悬疑氛围为主，保持对白清晰；在 E05-07 结尾根据下一段转折做弱收束或悬停。","待配音剪辑阶段确认"
"5","E05-08","80.5","95","许知遥临时声音修复室","按画面动作同步拟音：动作：许知遥把同一台摔裂电台放在联单旁；联单只铺在保育衬纸上，尚未装进透明袋。程野说：‘他留下证据，又回去救人。’；许知遥：“高嵩把他的选择，改成了罪。”（重新稳住声音）；动作：程野打开手机里的残缺录音。；高嵩：“她的学籍和住处，都在我手里。”（手机残录，断续但可辨）；高嵩：“要想保住女儿，就让他签。”（手机残录，尾句被杂音切断）","以克制的悬疑氛围为主，保持对白清晰；在 E05-08 结尾根据下一段转折做弱收束或悬停。","待配音剪辑阶段确认"
"5","E05-09","95","106","许知遥临时声音修复室","按画面动作同步拟音：动作：许知遥把唯一一张父亲责任书放在同一张尚未装袋的联单旁，眼睛停在模糊签名上，说：‘爸不是认罪。他是在替我挡。’P05 右下角必须完整入画，蓝黑模糊签名和褪色椭圆印可辨但不可读；两张纸分别裸放在中性衬纸上。只有许知遥入画并开口；程野、P06 手机、摔裂电台、金属文件筒、三个备份盘和透明保护袋均不出现。她表达的是个人判断，不是已核实结论或免责认定。；程野逐件确认恰好三件不同证物：一台摔裂电台、一张尚未装袋的联单和一张责任书，并说：‘录音、联单、责任书，现在能互相对上。’P01 保留黑色熔痕、右侧裂开结构、盐霜擦痕和弯天线；P05 右下蓝黑模糊签名与褪色椭圆印入画但不可读。只有程野开口，许知遥闭口；不出现手机、备份盘、透明袋、重复证物或可读文字。这里仅表示调查线索可以相互印证，不代表真实性鉴定、定罪或免责。；许知遥从证物方向抬眼看向同一扇铁丝玻璃窗外，说：‘还差公开。’窗户原有的放射状蛛裂必须保留在同一位置，玻璃不能自动修复。只有许知遥入画并开口；其他人物、全部证物和所有屏幕均在画外，不生成可读文字、界面或字幕。","以克制的悬疑氛围为主，保持对白清晰；在 E05-09 结尾根据下一段转折做弱收束或悬停。","待配音剪辑阶段确认"
"5","E05-10","106","116","许知遥临时声音修复室","按画面动作同步拟音：动作：许知遥把修复录音复制到恰好三个无标签、彼此独立的存储盘，并把音频校验摘要、联单照片和复查申请通过预先确认的受理通道提交；原始联单仍在现场由程野装入唯一一个透明保护袋。此镜不生成可读界面，两人嘴唇完全闭合。；联单已经完全进入同一个透明保护袋，袋口完全封闭，没有纸边外露，之后绝不再打开。程野拿起唯一一袋联单，独自开口说：‘去渡口。’只出现程野和这一袋联单；不出现散纸、重复证物、电台、手机、存储盘或可读文字。；动作：许知遥拿同一台未修复的摔裂电台，黑色熔痕、右侧裂开结构、盐霜擦痕和弯天线保持不变；程野拿已完全装入且袋口完全封闭的唯一一袋联单，绝不打开。两人闭口快步走向门口；出发前，程野已把同一部裂屏残录手机完全收入内侧口袋并随身带走，手机不出画；恰好三个存储盘留在台面。距九点一分钟只由画外闹钟声提示，不显示手机、数字或界面。","以克制的悬疑氛围为主，保持对白清晰；在 E05-10 结尾根据下一段转折做弱收束或悬停。","待配音剪辑阶段确认"
"6","E06-01","0","14.5","南堤旧渡口候船厅与栈桥","按画面动作同步拟音：动作：高嵩冲向唯一一根现场音响线；程野侧身阻挡，并把装有同一张联单的封闭透明保护袋护在胸前。两人都闭口，此镜不出现电台或备份盘。；动作：许知遥按下无字实体播放键，潮声从现场音响涌出；她说：‘你拔一根线，我还有三份备份。’三份备份留在场外，不在画面中出现。；高嵩：“这是拆迁仪式，不是你的修复室。”（努力维持体面）","以克制的悬疑氛围为主，保持对白清晰；在 E06-01 结尾根据下一段转折做弱收束或悬停。","待配音剪辑阶段确认"
"6","E06-02","14.5","26","南堤旧渡口候船厅与栈桥","按画面动作同步拟音：动作：程野保持透明保护袋封闭，把装有联单的保护袋平举给围观者看；手指隔着塑料沿六行模糊编号移动。程野说：‘六桶编号，都在这儿。’；动作：前排围观者放下效果图，转身看向联单。；高嵩：“一张泡烂的纸，也配叫证据？”（提高音量压住现场）；许知遥：“所以请所有人一起核对。”（不与他争吵）","以克制的悬疑氛围为主，保持对白清晰；在 E06-02 结尾根据下一段转折做弱收束或悬停。","待配音剪辑阶段确认"
"6","E06-03","26","37.5","南堤旧渡口候船厅与栈桥","按画面动作同步拟音：动作：防潮报警蜂鸣从音响里连续响起。；许潮：“七月十九日，一点四十七分。”（旧录音里的少年声音，紧张但清楚）；许潮：“我还在货仓外。”（急促喘息中报出位置）；动作：高嵩后退一步，回头看向停在场边的拆迁设备。；高嵩：“关掉！”（控制第一次崩开）","以克制的悬疑氛围为主，保持对白清晰；在 E06-03 结尾根据下一段转折做弱收束或悬停。","待配音剪辑阶段确认"
"6","E06-04","37.5","49.5","南堤旧渡口候船厅与栈桥","按画面动作同步拟音：许知遥：“你怕的不是噪声，是时间。”（把音量推高）；动作：发动机启动声盖过现场的低语。；许潮：“高嵩拿了备用钥匙，亲自开船。”（录音里快速报告）；高嵩：“那是个孩子胡说！”（指向音响）","以克制的悬疑氛围为主，保持对白清晰；在 E06-04 结尾根据下一段转折做弱收束或悬停。","待配音剪辑阶段确认"
"6","E06-05","49.5","61.5","南堤旧渡口候船厅与栈桥","按画面动作同步拟音：动作：程野把装有同一张联单的封闭透明保护袋平举到现场摄像设备前，隔袋指过六行模糊结构；他说：‘六桶，不是两桶。’；许知遥：“编号连续，私章也在。”（逐项对账）；动作：围观者纷纷举起手机对准联单。；高嵩：“责任书还在，许德海洗不干净。”（退回最后一道旧结论）","以克制的悬疑氛围为主，保持对白清晰；在 E06-05 结尾根据下一段转折做弱收束或悬停。","待配音剪辑阶段确认"
"6","E06-06","61.5","74","南堤旧渡口候船厅与栈桥","按画面动作同步拟音：许知遥：“责任书也会进鉴定。”（没有回避）；动作：高嵩伸手去抓封闭透明袋，程野把袋装联单收回身前，全程没有开袋。；程野：“这一次，谁也扔不回水里。”（直视高嵩）；动作：围观者的现场视频传到项目方后，高嵩的手机连续震动；他低头接起项目主管的电话。；画外信息：“现场拆迁暂停，所有材料原地封存。”（电话里的项目主管，急促而正式）","以克制的悬疑氛围为主，保持对白清晰；在 E06-06 结尾根据下一段转折做弱收束或悬停。","待配音剪辑阶段确认"
"6","E06-07","74","86.5","南堤旧渡口候船厅与栈桥","按画面动作同步拟音：动作：程野把同一部裂屏残录手机放到封闭联单保护袋旁，说：‘还有你的原话，一份不少。’他说完闭口后，手机残录才继续播放。；高嵩：“断断续续的东西，证明不了什么。”（急着替自己定性）；动作：拆迁设备依次熄火，候船厅前安静下来。；高嵩：“暂停不等于翻案。”（握着手机，声音发紧）","以克制的悬疑氛围为主，保持对白清晰；在 E06-07 结尾根据下一段转折做弱收束或悬停。","待配音剪辑阶段确认"
