"全片镜号","集","段","镜","全片开始秒","集内开始秒","集内结束秒","段内开始秒","设计时长","H3兜底生成秒","景别","运镜","人物","道具","中文内容","首帧","可选尾帧","目标视频文件","字幕/对白","声音","后期叠加","剪辑备注"
"11","1","E01-04","2","35","35","38.5","3.5","3.5","4","特写","右摇","许知遥","橙色应急电台","动作：她接上实验电源。；动作：两层屏幕同时跳出密集波形。","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E01-04\f2.png","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E01-04\f3.png","generated-videos/E01-04/E01-04-f2-v01.mp4","参见 offline-production/dialogue-cues.csv：E01-04/镜2","参见 offline-production/sound-music-cues.csv：E01-04","无","可用首尾帧约束；按设计时长回切"
"12","1","E01-04","3","38.5","38.5","41.5","7","3","3","特写","固定","许知遥","无核心道具","许知遥：“先保原始轨，再做副本。”（专业，语速稳定）","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E01-04\f3.png","","generated-videos/E01-04/E01-04-f3-v01.mp4","参见 offline-production/dialogue-cues.csv：E01-04/镜3","参见 offline-production/sound-music-cues.csv：E01-04","无","尾镜按设计时长输出；动作完成点允许小幅尾裁"
"13","1","E01-05","1","41.5","41.5","45","0","3.5","4","特写","推镜","许知遥","无核心道具","动作：她戴上耳机。；动作：连续爆音盖住整条音轨。","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E01-05\f1.png","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E01-05\f2.png","generated-videos/E01-05/E01-05-f1-v01.mp4","参见 offline-production/dialogue-cues.csv：E01-05/镜1","参见 offline-production/sound-music-cues.csv：E01-05","无","可用首尾帧约束；按设计时长回切"
"14","1","E01-05","2","45","45","48.5","3.5","3.5","4","大特写","固定","许知遥","无核心道具","动作：许知遥拖动第一段降噪参数。","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E01-05\f2.png","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E01-05\f3.png","generated-videos/E01-05/E01-05-f2-v01.mp4","参见 offline-production/dialogue-cues.csv：E01-05/镜2","参见 offline-production/sound-music-cues.csv：E01-05","无","可用首尾帧约束；按设计时长回切"
"15","1","E01-05","3","48.5","48.5","51.5","7","3","3","特写","固定","许知遥","无核心道具","许知遥：“潮声太满，人声在下面。”（专注，自言自语）","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E01-05\f3.png","","generated-videos/E01-05/E01-05-f3-v01.mp4","参见 offline-production/dialogue-cues.csv：E01-05/镜3","参见 offline-production/sound-music-cues.csv：E01-05","无","尾镜按设计时长输出；动作完成点允许小幅尾裁"
"16","1","E01-06","1","51.5","51.5","54.5","0","3","3","大特写","推镜","许知遥","无核心道具","动作：她把右声道单独放大。；动作：一个模糊男声从噪声里露出半句。","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E01-06\f1.png","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E01-06\f2.png","generated-videos/E01-06/E01-06-f1-v01.mp4","参见 offline-production/dialogue-cues.csv：E01-06/镜1","参见 offline-production/sound-music-cues.csv：E01-06","无","可用首尾帧约束；按设计时长回切"
"17","1","E01-06","2","54.5","54.5","57","3","2.5","3","特写","固定","许知遥","橙色应急电台","许潮：“开船的……”（录音，急促喘息）","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E01-06\f2.png","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E01-06\f3.png","generated-videos/E01-06/E01-06-f2-v01.mp4","参见 offline-production/dialogue-cues.csv：E01-06/镜2","参见 offline-production/sound-music-cues.csv：E01-06","无","可用首尾帧约束；按设计时长回切"
"18","1","E01-06","3","57","57","59.5","5.5","2.5","3","大特写","固定","许知遥","无核心道具","动作：许知遥猛地按下暂停。","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E01-06\f3.png","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E01-06\f4.png","generated-videos/E01-06/E01-06-f3-v01.mp4","参见 offline-production/dialogue-cues.csv：E01-06/镜3","参见 offline-production/sound-music-cues.csv：E01-06","无","可用首尾帧约束；按设计时长回切"
"19","1","E01-06","4","59.5","59.5","62","8","2.5","3","特写","推镜","许知遥","无核心道具","许知遥：“这个声音……”（失神，尾音发紧）","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E01-06\f4.png","","generated-videos/E01-06/E01-06-f4-v01.mp4","参见 offline-production/dialogue-cues.csv：E01-06/镜4","参见 offline-production/sound-music-cues.csv：E01-06","无","尾镜按设计时长输出；动作完成点允许小幅尾裁"
"20","1","E01-07","1","62","62","65.5","0","3.5","4","特写","右摇","许知遥","无核心道具","动作：她从抽屉里取出一张兄妹旧照。；动作：许知遥把旧照立在屏幕边。","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E01-07\f1.png","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E01-07\f2.png","generated-videos/E01-07/E01-07-f1-v01.mp4","参见 offline-production/dialogue-cues.csv：E01-07/镜1","参见 offline-production/sound-music-cues.csv：E01-07","无","可用首尾帧约束；按设计时长回切"
"21","1","E01-07","2","65.5","65.5","68","3.5","2.5","3","特写","推镜","许知遥","无核心道具","许知遥：“哥，是你吗？”（极轻，第一次失去克制）","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E01-07\f2.png","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E01-07\f3.png","generated-videos/E01-07/E01-07-f2-v01.mp4","参见 offline-production/dialogue-cues.csv：E01-07/镜2","参见 offline-production/sound-music-cues.csv：E01-07","无","可用首尾帧约束；按设计时长回切"
"22","1","E01-07","3","68","68","70.5","6","2.5","3","大特写","固定","许知遥","橙色应急电台","动作：她重新播放那段残缺录音。","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E01-07\f3.png","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E01-07\f4.png","generated-videos/E01-07/E01-07-f3-v01.mp4","参见 offline-production/dialogue-cues.csv：E01-07/镜3","参见 offline-production/sound-music-cues.csv：E01-07","无","可用首尾帧约束；按设计时长回切"
"23","1","E01-07","4","70.5","70.5","73","8.5","2.5","3","特写","固定","许知遥","橙色应急电台","许潮：“开船的不是爸。”（录音，气息短促）","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E01-07\f4.png","","generated-videos/E01-07/E01-07-f4-v01.mp4","参见 offline-production/dialogue-cues.csv：E01-07/镜4","参见 offline-production/sound-music-cues.csv：E01-07","无","尾镜按设计时长输出；动作完成点允许小幅尾裁"
"24","1","E01-08","1","73","73","75.5","0","2.5","3","大特写","固定","许知遥","无核心道具","动作：许知遥攥紧耳机线。","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E01-08\f1.png","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E01-08\f2.png","generated-videos/E01-08/E01-08-f1-v01.mp4","参见 offline-production/dialogue-cues.csv：E01-08/镜1","参见 offline-production/sound-music-cues.csv：E01-08","无","可用首尾帧约束；按设计时长回切"
"25","1","E01-08","2","75.5","75.5","77.5","2.5","2","2","特写","固定","许知遥","无核心道具","许知遥：“再说一遍。”（压住颤抖）","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E01-08\f2.png","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E01-08\f3.png","generated-videos/E01-08/E01-08-f2-v01.mp4","参见 offline-production/dialogue-cues.csv：E01-08/镜2","参见 offline-production/sound-music-cues.csv：E01-08","无","可用首尾帧约束；按设计时长回切"
"26","1","E01-08","3","77.5","77.5","81","4.5","3.5","4","大特写","推镜","许知遥","无核心道具","动作：她提高人声频段。；动作：波形里的最后两个音节变得清楚。","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E01-08\f3.png","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E01-08\f4.png","generated-videos/E01-08/E01-08-f3-v01.mp4","参见 offline-production/dialogue-cues.csv：E01-08/镜3","参见 offline-production/sound-music-cues.csv：E01-08","无","可用首尾帧约束；按设计时长回切"
"27","1","E01-08","4","81","81","83","8","2","2","特写","推镜","许知遥","橙色应急电台","许潮：“是高嵩。”（录音，清楚而急迫）","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E01-08\f4.png","","generated-videos/E01-08/E01-08-f4-v01.mp4","参见 offline-production/dialogue-cues.csv：E01-08/镜4","参见 offline-production/sound-music-cues.csv：E01-08","无","尾镜按设计时长输出；动作完成点允许小幅尾裁"
"28","1","E01-09","1","83","83","86","0","3","3","中景","拉镜","许知遥","无核心道具","动作：许知遥摘下耳机站起来。","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E01-09\f1.png","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E01-09\f2.png","generated-videos/E01-09/E01-09-f1-v01.mp4","参见 offline-production/dialogue-cues.csv：E01-09/镜1","参见 offline-production/sound-music-cues.csv：E01-09","无","可用首尾帧约束；按设计时长回切"
"29","1","E01-09","2","86","86","89","3","3","3","特写","固定","许知遥","无核心道具","许知遥：“责任书上写的是爸。”（冷静被愤怒顶开）","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E01-09\f2.png","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E01-09\f3.png","generated-videos/E01-09/E01-09-f2-v01.mp4","参见 offline-production/dialogue-cues.csv：E01-09/镜2","参见 offline-production/sound-music-cues.csv：E01-09","无","可用首尾帧约束；按设计时长回切"
"30","1","E01-09","3","89","89","91","6","2","2","大特写","固定","许知遥","橙色应急电台","动作：她把责任书压到电台旁。","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E01-09\f3.png","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E01-09\f4.png","generated-videos/E01-09/E01-09-f3-v01.mp4","参见 offline-production/dialogue-cues.csv：E01-09/镜3","参见 offline-production/sound-music-cues.csv：E01-09","无","可用首尾帧约束；按设计时长回切"
"31","1","E01-09","4","91","91","93.5","8","2.5","3","特写","推镜","许知遥","无核心道具","许知遥：“你们谁在撒谎？”（盯着父亲签名）","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E01-09\f4.png","","generated-videos/E01-09/E01-09-f4-v01.mp4","参见 offline-production/dialogue-cues.csv：E01-09/镜4","参见 offline-production/sound-music-cues.csv：E01-09","无","尾镜按设计时长输出；动作完成点允许小幅尾裁"
"32","1","E01-10","1","93.5","93.5","96.5","0","3","3","特写","固定","许知遥","无核心道具","动作：许知遥保存刚刚修出的三段音频副本。","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E01-10\f1.png","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E01-10\f2.png","generated-videos/E01-10/E01-10-f1-v01.mp4","参见 offline-production/dialogue-cues.csv：E01-10/镜1","参见 offline-production/sound-music-cues.csv：E01-10","无","可用首尾帧约束；按设计时长回切"
"33","1","E01-10","2","96.5","96.5","99.5","3","3","3","中景","推镜","许知遥","橙色应急电台","动作：她继续向后拖动未修复的音轨。","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E01-10\f2.png","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E01-10\f3.png","generated-videos/E01-10/E01-10-f2-v01.mp4","参见 offline-production/dialogue-cues.csv：E01-10/镜2","参见 offline-production/sound-music-cues.csv：E01-10","无","可用首尾帧约束；按设计时长回切"
"34","1","E01-10","3","99.5","99.5","102","6","2.5","3","大特写","固定","无实体人物","橙色应急电台","动作：电台突然爆出规律蜂鸣。","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E01-10\f3.png","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E01-10\f4.png","generated-videos/E01-10/E01-10-f3-v01.mp4","参见 offline-production/dialogue-cues.csv：E01-10/镜3","参见 offline-production/sound-music-cues.csv：E01-10","无","可用首尾帧约束；按设计时长回切"
"35","1","E01-10","4","102","102","104.5","8.5","2.5","3","大特写","推镜","无实体人物","黄铜船钥匙","动作：黄铜钥匙随震动滑到未修复的波形屏下。","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E01-10\f4.png","","generated-videos/E01-10/E01-10-f4-v01.mp4","参见 offline-production/dialogue-cues.csv：E01-10/镜4","参见 offline-production/sound-music-cues.csv：E01-10","无","尾镜按设计时长输出；动作完成点允许小幅尾裁"
"36","2","E02-01","1","104.5","0","3","0","3","3","中景","跟拍","许知遥、程野","橙色应急电台","动作：程野收到许知遥连夜发来的报时片段和时间疑点后，带着事故记录快步推门进来，把记录压到滚动的报时波形旁。","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E02-01\f1.png","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E02-01\f2.png","generated-videos/E02-01/E02-01-f1-v01.mp4","参见 offline-production/dialogue-cues.csv：E02-01/镜1","参见 offline-production/sound-music-cues.csv：E02-01","无","可用首尾帧约束；按设计时长回切"
"37","2","E02-01","2","107.5","3","6","3","3","3","特写","固定","程野","无核心道具","程野：“官方写一点二十分离岸。”（低沉，直接进入正题）","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E02-01\f2.png","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E02-01\f3.png","generated-videos/E02-01/E02-01-f2-v01.mp4","参见 offline-production/dialogue-cues.csv：E02-01/镜2","参见 offline-production/sound-music-cues.csv：E02-01","无","可用首尾帧约束；按设计时长回切"
"38","2","E02-01","3","110.5","6","10.5","6","4.5","5","中景","右摇","许知遥、程野","橙色应急电台","动作：许知遥把电台录音拉回蜂鸣处。；许知遥：“这段报时在一点四十七。”（逐字核对）","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E02-01\f3.png","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E02-01\f4.png","generated-videos/E02-01/E02-01-f3-v01.mp4","参见 offline-production/dialogue-cues.csv：E02-01/镜3","参见 offline-production/sound-music-cues.csv：E02-01","无","可用首尾帧约束；按设计时长回切"
"39","2","E02-01","4","115","10.5","13","10.5","2.5","3","大特写","推镜","许知遥","橙色应急电台","动作：她按下播放。","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E02-01\f4.png","","generated-videos/E02-01/E02-01-f4-v01.mp4","参见 offline-production/dialogue-cues.csv：E02-01/镜4","参见 offline-production/sound-music-cues.csv：E02-01","无","尾镜按设计时长输出；动作完成点允许小幅尾裁"
"40","2","E02-02","1","117.5","13","16","0","3","3","大特写","固定","无实体人物","橙色应急电台","许潮：“七月十九，一点四十七。”（录音，远而破碎）","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E02-02\f1.png","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E02-02\f2.png","generated-videos/E02-02/E02-02-f1-v01.mp4","参见 offline-production/dialogue-cues.csv：E02-02/镜1","参见 offline-production/sound-music-cues.csv：E02-02","无","可用首尾帧约束；按设计时长回切"
"41","2","E02-02","2","120.5","16","20","3","4","4","中景","推镜","许知遥、程野","橙色应急电台","动作：程野靠近扬声器。；动作：规律蜂鸣再次穿过潮声。","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E02-02\f2.png","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E02-02\f3.png","generated-videos/E02-02/E02-02-f2-v01.mp4","参见 offline-production/dialogue-cues.csv：E02-02/镜2","参见 offline-production/sound-music-cues.csv：E02-02","无","可用首尾帧约束；按设计时长回切"
"42","2","E02-02","3","124.5","20","22.5","7","2.5","3","特写","固定","程野","橙色应急电台","程野：“这是货仓防潮报警器。”（确认，语气发沉）","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E02-02\f3.png","","generated-videos/E02-02/E02-02-f3-v01.mp4","参见 offline-production/dialogue-cues.csv：E02-02/镜3","参见 offline-production/sound-music-cues.csv：E02-02","无","尾镜按设计时长输出；动作完成点允许小幅尾裁"
"43","2","E02-03","1","127","22.5","24.5","0","2","2","特写","固定","许知遥","无核心道具","许知遥：“不是船上的？”（迅速追问）","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E02-03\f1.png","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E02-03\f2.png","generated-videos/E02-03/E02-03-f1-v01.mp4","参见 offline-production/dialogue-cues.csv：E02-03/镜1","参见 offline-production/sound-music-cues.csv：E02-03","无","可用首尾帧约束；按设计时长回切"
"44","2","E02-03","2","129","24.5","28.5","2","4","4","特写","推镜","程野","无核心道具","动作：程野摇头。；程野：“每三十秒一次，我从小听到大。”（笃定）","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E02-03\f2.png","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E02-03\f3.png","generated-videos/E02-03/E02-03-f2-v01.mp4","参见 offline-production/dialogue-cues.csv：E02-03/镜2","参见 offline-production/sound-music-cues.csv：E02-03","无","可用首尾帧约束；按设计时长回切"
"45","2","E02-03","3","133","28.5","32.5","6","4","4","大特写","右摇","许知遥","无核心道具","动作：许知遥把两条时间写在同一张纸上。；许知遥：“哥哥那时还在岸上。”（压住激动）","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E02-03\f3.png","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E02-03\f4.png","generated-videos/E02-03/E02-03-f3-v01.mp4","参见 offline-production/dialogue-cues.csv：E02-03/镜3","参见 offline-production/sound-music-cues.csv：E02-03","无","可用首尾帧约束；按设计时长回切"
"46","2","E02-03","4","137","32.5","35.5","10","3","3","特写","固定","程野","无核心道具","程野：“至少有一份记录是假的。”（简短，回避她的目光）","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E02-03\f4.png","","generated-videos/E02-03/E02-03-f4-v01.mp4","参见 offline-production/dialogue-cues.csv：E02-03/镜4","参见 offline-production/sound-music-cues.csv：E02-03","无","尾镜按设计时长输出；动作完成点允许小幅尾裁"
"47","2","E02-04","1","140","35.5","39","0","3.5","4","特写","推镜","许知遥、程野","无核心道具","动作：许知遥注意到他的回避。；许知遥：“你还知道什么？”（冷下来）","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E02-04\f1.png","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E02-04\f2.png","generated-videos/E02-04/E02-04-f1-v01.mp4","参见 offline-production/dialogue-cues.csv：E02-04/镜1","参见 offline-production/sound-music-cues.csv：E02-04","无","可用首尾帧约束；按设计时长回切"
"48","2","E02-04","2","143.5","39","41.5","3.5","2.5","3","大特写","固定","程野","无核心道具","动作：程野握紧椅背。","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E02-04\f2.png","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E02-04\f3.png","generated-videos/E02-04/E02-04-f2-v01.mp4","参见 offline-production/dialogue-cues.csv：E02-04/镜2","参见 offline-production/sound-music-cues.csv：E02-04","无","可用首尾帧约束；按设计时长回切"
"49","2","E02-04","3","146","41.5","45.5","6","4","4","特写","推镜","程野","无核心道具","程野：“事故第二天，我捡到过半块船牌。”（停顿后承认）","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E02-04\f3.png","","generated-videos/E02-04/E02-04-f3-v01.mp4","参见 offline-production/dialogue-cues.csv：E02-04/镜3","参见 offline-production/sound-music-cues.csv：E02-04","无","尾镜按设计时长输出；动作完成点允许小幅尾裁"
"50","2","E02-05","1","150","45.5","47.5","0","2","2","特写","固定","许知遥","无核心道具","许知遥：“船牌呢？”（立刻追问）","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E02-05\f1.png","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E02-05\f2.png","generated-videos/E02-05/E02-05-f1-v01.mp4","参见 offline-production/dialogue-cues.csv：E02-05/镜1","参见 offline-production/sound-music-cues.csv：E02-05","无","可用首尾帧约束；按设计时长回切"
